tingkat setelah parent,parent,similarity
3,senin,"[('selasa', 0.8694994449615479), ('sabtu', 0.8679021000862122), ('kamis', 0.8537953495979309), ('jumat', 0.8275813460350037), ('rabu', 0.826034665107727), ('sore', 0.6702617406845093), ('pagi', 0.6610288619995117), ('petang', 0.6421505808830261), ('dinihari', 0.6411405801773071), ('wib', 0.623748242855072)]"
3,sabtu,"[('selasa', 0.8776264786720276), ('kamis', 0.8707577586174011), ('senin', 0.8679022192955017), ('jumat', 0.8542583584785461), ('rabu', 0.8243231177330017), ('pagi', 0.679991602897644), ('sore', 0.6734711527824402), ('ahad', 0.6367354393005371), ('dinihari', 0.6305697560310364), ('petang', 0.6280474662780762)]"
3,jumat,"[('sabtu', 0.8542582988739014), ('senin', 0.8275813460350037), ('kamis', 0.817247211933136), ('selasa', 0.8170266151428223), ('rabu', 0.7944782376289368), ('ahad', 0.683329701423645), ('pagi', 0.6636762022972107), ('dinihari', 0.6537397503852844), ('petang', 0.6464948058128357), ('kliwon', 0.6385819911956787)]"
3,dinihari,"[('selasa', 0.7068836688995361), ('rabu', 0.702897846698761), ('wita', 0.6896710991859436), ('edt', 0.6722484827041626), ('kamis', 0.6584863066673279), ('jumat', 0.6537397503852844), ('senin', 0.6411405801773071), ('sabtu', 0.6305697560310364), ('gmt', 0.6235888600349426), ('pagi', 0.6126013994216919)]"
3,ahad,"[('pahing', 0.7187627553939819), ('ashar', 0.6920703649520874), ('rajab', 0.6886890530586243), ('jumat', 0.683329701423645), ('rabu', 0.6818159222602844), ('syawal', 0.6740802526473999), ('isya', 0.6709789037704468), ('safar', 0.6699311137199402), ('kliwon', 0.6682347059249878), ('dzulhijjah', 0.6524707674980164)]"
3,pagi,"[('sore', 0.8309832811355591), ('petang', 0.7955793142318726), ('siang', 0.7127876281738281), ('malam', 0.7090618014335632), ('sabtu', 0.6799915432929993), ('jumat', 0.6636763215065002), ('senin', 0.6610288619995117), ('esok', 0.6417326927185059), ('kamis', 0.6371614336967468), ('selasa', 0.6208085417747498)]"
3,istu,"[('sabarno', 0.8965169787406921), ('dipagi', 0.8762707710266113), ('dikemudian', 0.8494262099266052), ('sehar', 0.8347999453544617), ('disore', 0.8131579160690308), ('berbangkit', 0.81071537733078), ('petiklah', 0.8081310987472534), ('dimalam', 0.786514937877655), ('rayanya', 0.7856782674789429), ('kartana', 0.7772974371910095)]"
3,petang,"[('pagi', 0.7955792546272278), ('sore', 0.7636922001838684), ('siang', 0.667354166507721), ('jumat', 0.6464948058128357), ('senin', 0.6421505808830261), ('subuh', 0.6366259455680847), ('ahad', 0.636057436466217), ('sabtu', 0.6280474662780762), ('kamis', 0.6178857088088989), ('maariv', 0.6170130372047424)]"
3,pagi,"[('sore', 0.8309832811355591), ('petang', 0.7955793142318726), ('siang', 0.7127876281738281), ('malam', 0.7090618014335632), ('sabtu', 0.6799915432929993), ('jumat', 0.6636763215065002), ('senin', 0.6610288619995117), ('esok', 0.6417326927185059), ('kamis', 0.6371614336967468), ('selasa', 0.6208085417747498)]"
3,siang,"[('sore', 0.7638959288597107), ('malam', 0.7187245488166809), ('pagi', 0.7127875685691833), ('petang', 0.6673541069030762), ('istu', 0.5863218903541565), ('berhari', 0.582496166229248), ('baranang', 0.5775307416915894), ('sabarno', 0.5751587748527527), ('dimalam', 0.565040647983551), ('liburnya', 0.5625808238983154)]"
