tingkat setelah parent,parent,similarity
3,makasar,"[('makassar', 0.6792885065078735), ('ujungpandang', 0.6768785715103149), ('palangkaraya', 0.6706939339637756), ('hanlan', 0.6573381423950195), ('ambon', 0.6526421904563904), ('bitung', 0.6465306878089905), ('kupang', 0.6462867259979248), ('masohi', 0.6369932889938354), ('tual', 0.6367196440696716), ('menado', 0.6365934610366821)]"
3,kupang,"[('tual', 0.7073724865913391), ('kendari', 0.6979011297225952), ('atambua', 0.697487473487854), ('masohi', 0.6905606389045715), ('larantuka', 0.684264063835144), ('maumere', 0.6800734400749207), ('bitung', 0.6627638936042786), ('ambon', 0.6616342663764954), ('pangkalpinang', 0.6586983799934387), ('waingapu', 0.657158374786377)]"
3,pontianak,"[('singkawang', 0.7533384561538696), ('banjarmasin', 0.7494269013404846), ('balikpapan', 0.7125326991081238), ('kendari', 0.6917118430137634), ('palangkaraya', 0.6876357197761536), ('tarakan', 0.6811199188232422), ('banjarbaru', 0.6729028224945068), ('tanjungpinang', 0.6597638130187988), ('samarinda', 0.6520063281059265), ('makassar', 0.6425608396530151)]"
3,manado,"[('ambon', 0.778994083404541), ('makassar', 0.7650017142295837), ('kendari', 0.6690382361412048), ('bitung', 0.645226240158081), ('tomohon', 0.6414216756820679), ('sibolga', 0.6361725330352783), ('gorontalo', 0.6301072239875793), ('makasar', 0.6252570748329163), ('kupang', 0.617101788520813), ('pontianak', 0.6170780062675476)]"
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,ternate,"[('tidore', 0.8233423233032227), ('ambon', 0.7190890312194824), ('jailolo', 0.6973066926002502), ('bacan', 0.6807116866111755), ('makassar', 0.6712484359741211), ('maluku', 0.6388164162635803), ('gowa', 0.637122631072998), ('buton', 0.6279655694961548), ('malaka', 0.6228310465812683), ('sulu', 0.6167241334915161)]"
3,tual,"[('masohi', 0.834747314453125), ('saumlaki', 0.801752507686615), ('sofifi', 0.7875826358795166), ('sorong', 0.7645860910415649), ('bitung', 0.7524459362030029), ('kendari', 0.7394525408744812), ('pangkalpinang', 0.7294784784317017), ('manokwari', 0.7276496291160583), ('dobo', 0.7167869210243225), ('ampana', 0.7112720012664795)]"
3,kupang,"[('tual', 0.7073724865913391), ('kendari', 0.6979011297225952), ('atambua', 0.697487473487854), ('masohi', 0.6905606389045715), ('larantuka', 0.684264063835144), ('maumere', 0.6800734400749207), ('bitung', 0.6627638936042786), ('ambon', 0.6616342663764954), ('pangkalpinang', 0.6586983799934387), ('waingapu', 0.657158374786377)]"
3,makasar,"[('makassar', 0.6792885065078735), ('ujungpandang', 0.6768785715103149), ('palangkaraya', 0.6706939339637756), ('hanlan', 0.6573381423950195), ('ambon', 0.6526421904563904), ('bitung', 0.6465306878089905), ('kupang', 0.6462867259979248), ('masohi', 0.6369932889938354), ('tual', 0.6367196440696716), ('menado', 0.6365934610366821)]"
3,maluku,"[('sulawesi', 0.7944497466087341), ('halmahera', 0.7671792507171631), ('gorontalo', 0.6591214537620544), ('ambon', 0.6504936218261719), ('minahasa', 0.6404544115066528), ('ternate', 0.6388165354728699), ('nias', 0.6141757369041443), ('tanimbar', 0.6079151034355164), ('buton', 0.6027639508247375), ('bengkulu', 0.6005340218544006)]"
3,masohi,"[('tual', 0.8347473740577698), ('saumlaki', 0.7927437424659729), ('sofifi', 0.7246182560920715), ('bitung', 0.7218933701515198), ('amahai', 0.7113627791404724), ('ampana', 0.7059715986251831), ('kefamenanu', 0.70222008228302), ('kupang', 0.690560519695282), ('namlea', 0.6888284087181091), ('labuha', 0.6871170401573181)]"
3,tidore,"[('bacan', 0.8267930746078491), ('ternate', 0.8233423233032227), ('jailolo', 0.8004843592643738), ('sulu', 0.7217016816139221), ('pangkajene', 0.7121976017951965), ('buton', 0.6679192185401917), ('haruku', 0.6594324111938477), ('tual', 0.6540606617927551), ('nuku', 0.6452037692070007), ('maguindanao', 0.6350039839744568)]"
3,haruku,"[('saparua', 0.8131781220436096), ('nusalaut', 0.7578285932540894), ('bacan', 0.7533949017524719), ('amahai', 0.7505480647087097), ('sameth', 0.7361304759979248), ('taliabu', 0.7324714660644531), ('jailolo', 0.7290984988212585), ('kisar', 0.7276995182037354), ('atauro', 0.7218695282936096), ('wetar', 0.7209957242012024)]"
3,baubau,"[('kendari', 0.7621660232543945), ('palopo', 0.7532800436019897), ('kotamobagu', 0.7304324507713318), ('parepare', 0.6900744438171387), ('tual', 0.6895118355751038), ('tanjungpinang', 0.686375081539154), ('pangkalpinang', 0.6822248101234436), ('ampana', 0.6784548759460449), ('gunungsitoli', 0.6713451147079468), ('sofifi', 0.6610080003738403)]"
3,palopo,"[('parepare', 0.7620823383331299), ('baubau', 0.753279983997345), ('kendari', 0.7499604225158691), ('pinrang', 0.7378074526786804), ('takalar', 0.724830150604248), ('mamuju', 0.7212775349617004), ('kotamobagu', 0.7151351571083069), ('bitung', 0.7053841352462769), ('barru', 0.7042323350906372), ('sidrap', 0.702690064907074)]"
3,tual,"[('masohi', 0.834747314453125), ('saumlaki', 0.801752507686615), ('sofifi', 0.7875826358795166), ('sorong', 0.7645860910415649), ('bitung', 0.7524459362030029), ('kendari', 0.7394525408744812), ('pangkalpinang', 0.7294784784317017), ('manokwari', 0.7276496291160583), ('dobo', 0.7167869210243225), ('ampana', 0.7112720012664795)]"
3,parepare,"[('palopo', 0.7620823383331299), ('kendari', 0.72770094871521), ('persipare', 0.6987245082855225), ('baubau', 0.6900745034217834), ('sulsel', 0.6707442402839661), ('takalar', 0.6657980680465698), ('tual', 0.6637996435165405), ('gorontalo', 0.6614674925804138), ('kotamobagu', 0.6484179496765137), ('banjarbaru', 0.6459128856658936)]"
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,bitung,"[('tual', 0.7524458765983582), ('masohi', 0.721893310546875), ('tomohon', 0.7115574479103088), ('kendari', 0.71009361743927), ('luwuk', 0.7095844149589539), ('saumlaki', 0.7067572474479675), ('palopo', 0.7053840160369873), ('kotamobagu', 0.702265202999115), ('sibolga', 0.6954153180122375), ('amurang', 0.6937013864517212)]"
3,kupang,"[('tual', 0.7073724865913391), ('kendari', 0.6979011297225952), ('atambua', 0.697487473487854), ('masohi', 0.6905606389045715), ('larantuka', 0.684264063835144), ('maumere', 0.6800734400749207), ('bitung', 0.6627638936042786), ('ambon', 0.6616342663764954), ('pangkalpinang', 0.6586983799934387), ('waingapu', 0.657158374786377)]"
3,palangkaraya,"[('balikpapan', 0.7281298041343689), ('samarinda', 0.7246313095092773), ('tenggarong', 0.7197403311729431), ('persepar', 0.7186055779457092), ('bontang', 0.7090311646461487), ('kendari', 0.695594072341919), ('pontianak', 0.6876356601715088), ('buntok', 0.6858117580413818), ('singkawang', 0.6831300854682922), ('sampit', 0.6830793023109436)]"
3,mamuju,"[('mamasa', 0.8121209740638733), ('bombana', 0.7986303567886353), ('morowali', 0.7958514094352722), ('tolitoli', 0.7908928394317627), ('sinjai', 0.7860739827156067), ('pinrang', 0.7755107283592224), ('takalar', 0.773381769657135), ('sidrap', 0.7718691825866699), ('jeneponto', 0.7713939547538757), ('kolaka', 0.7664992809295654)]"
3,pontianak,"[('singkawang', 0.7533384561538696), ('banjarmasin', 0.7494269013404846), ('balikpapan', 0.7125326991081238), ('kendari', 0.6917118430137634), ('palangkaraya', 0.6876357197761536), ('tarakan', 0.6811199188232422), ('banjarbaru', 0.6729028224945068), ('tanjungpinang', 0.6597638130187988), ('samarinda', 0.6520063281059265), ('makassar', 0.6425608396530151)]"
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,pekanbaru,"[('dumai', 0.7211209535598755), ('tanjungpinang', 0.7209017276763916), ('jambi', 0.7001463770866394), ('batam', 0.6858158707618713), ('riau', 0.6815800666809082), ('bengkalis', 0.6670379638671875), ('palembang', 0.6645551919937134), ('pangkalpinang', 0.6594669222831726), ('bukittinggi', 0.6587821245193481), ('psps', 0.6582736372947693)]"
3,jambi,"[('bengkulu', 0.7453407645225525), ('riau', 0.7128908038139343), ('pekanbaru', 0.7001462578773499), ('kerinci', 0.6752468943595886), ('lampung', 0.660761296749115), ('palembang', 0.6544741988182068), ('bengkalis', 0.6485674381256104), ('kepri', 0.6430935859680176), ('merangin', 0.6315801739692688), ('gorontalo', 0.626757800579071)]"
3,banjarmasin,"[('pontianak', 0.7494269013404846), ('samarinda', 0.6912866830825806), ('martapura', 0.6845555901527405), ('banjarbaru', 0.6838390231132507), ('balikpapan', 0.6811392307281494), ('makassar', 0.6558136343955994), ('tarakan', 0.6543596982955933), ('palembang', 0.6506720781326294), ('palangkaraya', 0.6378647685050964), ('singkawang', 0.6309277415275574)]"
3,bengkulu,"[('jambi', 0.7453407049179077), ('gorontalo', 0.7077627778053284), ('mukomuko', 0.6818331480026245), ('lampung', 0.6608540415763855), ('riau', 0.6506332159042358), ('palembang', 0.6474036574363708), ('sulsel', 0.6354147791862488), ('sumatra', 0.6349992156028748), ('kepri', 0.6329287886619568), ('sumbar', 0.6264323592185974)]"
3,pontianak,"[('singkawang', 0.7533384561538696), ('banjarmasin', 0.7494269013404846), ('balikpapan', 0.7125326991081238), ('kendari', 0.6917118430137634), ('palangkaraya', 0.6876357197761536), ('tarakan', 0.6811199188232422), ('banjarbaru', 0.6729028224945068), ('tanjungpinang', 0.6597638130187988), ('samarinda', 0.6520063281059265), ('makassar', 0.6425608396530151)]"
3,surabaya,"[('semarang', 0.7880793809890747), ('malang', 0.724402129650116), ('jakarta', 0.6788262128829956), ('madiun', 0.6739820837974548), ('bandung', 0.6485385894775391), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708691596985), ('palembang', 0.6329646706581116), ('surakarta', 0.6244343519210815), ('jember', 0.6240251064300537)]"
3,tanjungpinang,"[('dumai', 0.765282154083252), ('batam', 0.744634211063385), ('pangkalpinang', 0.7359452247619629), ('pekanbaru', 0.7209017276763916), ('bintan', 0.7193381190299988), ('baubau', 0.6863751411437988), ('tual', 0.6785014271736145), ('tanjungbalai', 0.6720269918441772), ('ranai', 0.6681238412857056), ('kendari', 0.666961669921875)]"
3,dumai,"[('tanjungpinang', 0.7652822732925415), ('pekanbaru', 0.721121072769165), ('bengkalis', 0.7048161625862122), ('tembilahan', 0.7032662630081177), ('batam', 0.703189492225647), ('tual', 0.6967683434486389), ('rengat', 0.6945074200630188), ('prabumulih', 0.6942572593688965), ('binjai', 0.669740617275238), ('pangkalpinang', 0.668829083442688)]"
3,medan,"[('palembang', 0.6258466839790344), ('binjai', 0.571160614490509), ('surabaya', 0.5638763308525085), ('makassar', 0.5459562540054321), ('padang', 0.5195876359939575), ('pekanbaru', 0.5084707736968994), ('deli', 0.5064871907234192), ('banjarmasin', 0.4915895164012909), ('semarang', 0.49130570888519287), ('manado', 0.49024417996406555)]"
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,ujungpandang,"[('makasar', 0.6768785715103149), ('unhas', 0.659805178642273), ('kendari', 0.6416006088256836), ('sulsel', 0.6285445690155029), ('makassar', 0.6208673119544983), ('tamalanrea', 0.6063045263290405), ('padangsidimpuan', 0.6056602001190186), ('parepare', 0.6042284369468689), ('tual', 0.6019341349601746), ('unsrat', 0.599908709526062)]"
3,palangkaraya,"[('balikpapan', 0.7281298041343689), ('samarinda', 0.7246313095092773), ('tenggarong', 0.7197403311729431), ('persepar', 0.7186055779457092), ('bontang', 0.7090311646461487), ('kendari', 0.695594072341919), ('pontianak', 0.6876356601715088), ('buntok', 0.6858117580413818), ('singkawang', 0.6831300854682922), ('sampit', 0.6830793023109436)]"
3,hanlan,"[('supadio', 0.8113609552383423), ('lanuma', 0.7648318409919739), ('wijayandanu', 0.7533841133117676), ('danlanal', 0.7357829809188843), ('kunta', 0.7287721037864685), ('makorpaskhas', 0.725318431854248), ('dansatpom', 0.7250306606292725), ('denzibang', 0.7141006588935852), ('kipan', 0.7127689719200134), ('danlanud', 0.7122176289558411)]"
