tingkat setelah parent,parent,similarity
3,rinaldi,"[('kurniadi', 0.823724627494812), ('firmansyah', 0.8227280378341675), ('priasmoro', 0.815642774105072), ('oky', 0.8073405623435974), ('singgih', 0.8041344881057739), ('rully', 0.8001276850700378), ('wicaksono', 0.7950604557991028), ('setiadi', 0.7940979599952698), ('hartoyo', 0.792732834815979), ('hendrawan', 0.7921613454818726)]"
3,alfin,"[('firmansyah', 0.8107210397720337), ('oky', 0.8042814135551453), ('irwansyah', 0.8000180125236511), ('irham', 0.7879302501678467), ('rifky', 0.7779496908187866), ('ryaas', 0.777559757232666), ('fauzan', 0.7752419114112854), ('aulia', 0.772344708442688), ('ramadhani', 0.7702241539955139), ('ihsan', 0.7701259255409241)]"
3,riski,"[('oky', 0.8040154576301575), ('febriani', 0.8013582229614258), ('pratiwi', 0.7996953725814819), ('rahmadani', 0.795842170715332), ('puspitasari', 0.7943817377090454), ('ramadhani', 0.7915531992912292), ('cahya', 0.7895363569259644), ('anggara', 0.7887485027313232), ('feby', 0.7838521003723145), ('alivia', 0.7827778458595276)]"
3,novyansari,"[('alivia', 0.9786651134490967), ('jelsen', 0.9461849331855774), ('yemi', 0.9446317553520203), ('parahitha', 0.9438804984092712), ('fionista', 0.9378989338874817), ('millyena', 0.9297005534172058), ('mariroh', 0.9275952577590942), ('meriatul', 0.9228756427764893), ('lindiawati', 0.9207859039306641), ('audia', 0.9186568856239319)]"
3,febriana,"[('novyansari', 0.918606698513031), ('alivia', 0.9118999242782593), ('fionista', 0.910300612449646), ('jelsen', 0.9034106731414795), ('tjindarbumi', 0.8999125361442566), ('yemi', 0.8997589945793152), ('parahitha', 0.8996585011482239), ('meriatul', 0.8944168090820312), ('febriani', 0.8873453736305237), ('millyena', 0.8856819868087769)]"
3,alivia,"[('novyansari', 0.9786649346351624), ('jelsen', 0.9344015717506409), ('fionista', 0.9312016367912292), ('parahitha', 0.929874062538147), ('yemi', 0.9294998049736023), ('millyena', 0.9255533814430237), ('lindiawati', 0.9157708883285522), ('febriana', 0.9118998646736145), ('mariroh', 0.9007604718208313), ('audia', 0.9006624221801758)]"
3,wulansari,"[('febriani', 0.8826949596405029), ('puspitasari', 0.8783804178237915), ('andriani', 0.8775418996810913), ('rahmawati', 0.8719431161880493), ('anggraeni', 0.8694825172424316), ('fionista', 0.8582849502563477), ('septiana', 0.8570352792739868), ('pratiwi', 0.8567449450492859), ('safitri', 0.8567448854446411), ('wijayanti', 0.8555743098258972)]"
3,lindiawati,"[('novyansari', 0.9207858443260193), ('alivia', 0.915770947933197), ('fionista', 0.9069357514381409), ('parahitha', 0.9063754081726074), ('millyena', 0.8983639478683472), ('meriatul', 0.8973953723907471), ('mariroh', 0.8904535174369812), ('tjindarbumi', 0.8887789845466614), ('jelsen', 0.8872213959693909), ('fariha', 0.8862841725349426)]"
3,fionista,"[('jelsen', 0.9406028985977173), ('novyansari', 0.9378988742828369), ('yemi', 0.9365329146385193), ('alivia', 0.9312014579772949), ('meriatul', 0.9247373342514038), ('herliana', 0.9230172634124756), ('parahitha', 0.9214924573898315), ('millyena', 0.9199444055557251), ('febriana', 0.9103005528450012), ('tjindarbumi', 0.9094244837760925)]"
3,safitri,"[('puspitasari', 0.8923789262771606), ('anggraeni', 0.8822501301765442), ('anggraini', 0.8782735466957092), ('febriani', 0.8773221373558044), ('pratiwi', 0.8717936873435974), ('yulianti', 0.8681514263153076), ('novianti', 0.8641731142997742), ('ramadhani', 0.8618268370628357), ('novia', 0.8613108396530151), ('alivia', 0.8610568642616272)]"
