tingkat setelah parent,parent,similarity
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,palembang,"[('makassar', 0.7024365067481995), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544741988182068), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474037170410156), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647898674011), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261777877807617), ('medan', 0.625846803188324)]"
3,surakarta,"[('yogyakarta', 0.8291754722595215), ('semarang', 0.7265726327896118), ('salatiga', 0.6889053583145142), ('pekalongan', 0.662184476852417), ('magelang', 0.6536304950714111), ('madiun', 0.6431910395622253), ('jogjakarta', 0.6431556344032288), ('mataram', 0.6430928707122803), ('kraton', 0.6309205293655396), ('mangkunegaran', 0.6308548450469971)]"
3,jember,"[('probolinggo', 0.7383838295936584), ('jombang', 0.7361063361167908), ('banyuwangi', 0.7293094396591187), ('lumajang', 0.7280812859535217), ('situbondo', 0.7233957052230835), ('bondowoso', 0.7222008109092712), ('pasuruan', 0.7121522426605225), ('bojonegoro', 0.7067436575889587), ('madiun', 0.7049099802970886), ('malang', 0.685132622718811)]"
3,bogor,"[('bandung', 0.7604232430458069), ('sukabumi', 0.7495936155319214), ('bekasi', 0.730721116065979), ('cianjur', 0.7137830853462219), ('depok', 0.6908438801765442), ('cimahi', 0.6668136715888977), ('karawang', 0.6627344489097595), ('garut', 0.6618160009384155), ('tasikmalaya', 0.6616714000701904), ('purwakarta', 0.6609673500061035)]"
3,malang,"[('surabaya', 0.724402129650116), ('kediri', 0.7242322564125061), ('semarang', 0.720335066318512), ('blitar', 0.6941945552825928), ('bandung', 0.6888079643249512), ('jember', 0.6851326823234558), ('mojokerto', 0.6767305135726929), ('probolinggo', 0.6701105237007141), ('madiun', 0.6524861454963684), ('magelang', 0.6356691122055054)]"
3,tasikmalaya,"[('garut', 0.7935009002685547), ('purwakarta', 0.7895569801330566), ('cianjur', 0.7845209240913391), ('sukabumi', 0.7710090279579163), ('ciamis', 0.7674336433410645), ('majalengka', 0.7401385307312012), ('cimahi', 0.7298651933670044), ('sukapura', 0.7002620100975037), ('pangandaran', 0.6973034143447876), ('sumedang', 0.6970751285552979)]"
3,cimahi,"[('tasikmalaya', 0.7298651337623596), ('sukabumi', 0.6956406831741333), ('bandung', 0.6755127310752869), ('batujajar', 0.6710490584373474), ('purwakarta', 0.6675536632537842), ('bogor', 0.6668136715888977), ('magelang', 0.6619254350662231), ('depok', 0.6578271985054016), ('soreang', 0.6571242809295654), ('dayeuhkolot', 0.6538770198822021)]"
3,purwakarta,"[('tasikmalaya', 0.7895569801330566), ('cianjur', 0.7728085517883301), ('padalarang', 0.758759081363678), ('majalengka', 0.7518791556358337), ('garut', 0.7408190965652466), ('cibatu', 0.7382585406303406), ('cicalengka', 0.7330455780029297), ('karawang', 0.7299838066101074), ('sukabumi', 0.7260526418685913), ('ciamis', 0.7211009860038757)]"
3,cianjur,"[('garut', 0.8320609331130981), ('sukabumi', 0.7903581857681274), ('tasikmalaya', 0.7845208644866943), ('purwakarta', 0.7728084921836853), ('ciamis', 0.7714739441871643), ('sumedang', 0.7637450695037842), ('majalengka', 0.7511988878250122), ('majalaya', 0.7280388474464417), ('sukapura', 0.7207364439964294), ('bogor', 0.7137830853462219)]"
3,sukabumi,"[('cianjur', 0.7903582453727722), ('tasikmalaya', 0.7710089683532715), ('bogor', 0.7495936155319214), ('garut', 0.7396083474159241), ('purwakarta', 0.7260526418685913), ('majalaya', 0.7102686166763306), ('cibadak', 0.7003998756408691), ('cimahi', 0.6956406831741333), ('cipanas', 0.6795938014984131), ('cisarua', 0.6728577017784119)]"
3,surabaya,"[('semarang', 0.7880793809890747), ('malang', 0.724402129650116), ('jakarta', 0.6788262128829956), ('madiun', 0.6739820837974548), ('bandung', 0.6485385894775391), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708691596985), ('palembang', 0.6329646706581116), ('surakarta', 0.6244343519210815), ('jember', 0.6240251064300537)]"
3,jakarta,"[('surabaya', 0.6788262724876404), ('bandung', 0.6456542611122131), ('bekasi', 0.6120882630348206), ('palembang', 0.6100819706916809), ('bogor', 0.6096037030220032), ('semarang', 0.6031348705291748), ('yogyakarta', 0.5961077213287354), ('tangerang', 0.5946990847587585), ('depok', 0.5771353840827942), ('ciputat', 0.5691471099853516)]"
3,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497220039367676), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243849039077759), ('tegal', 0.7242745757102966), ('malang', 0.720335066318512), ('salatiga', 0.718439519405365), ('purwokerto', 0.7121427059173584)]"
3,ciputat,"[('pamulang', 0.7865549921989441), ('pulogadung', 0.7723935842514038), ('perumnas', 0.7653574347496033), ('mikrolet', 0.7566080093383789), ('bekasi', 0.7508614659309387), ('cileungsi', 0.7487024068832397), ('cipayung', 0.7456145286560059), ('kalideres', 0.7433485984802246), ('kopaja', 0.7379216551780701), ('cakung', 0.7349115610122681)]"
3,depok,"[('bekasi', 0.7501325607299805), ('bogor', 0.6908438205718994), ('cimahi', 0.6578271389007568), ('tangerang', 0.6321688890457153), ('cilegon', 0.631739616394043), ('bandung', 0.6315338611602783), ('ciputat', 0.6275485157966614), ('tegal', 0.595329999923706), ('tasikmalaya', 0.589453935623169), ('cileungsi', 0.5847452282905579)]"
3,bogor,"[('bandung', 0.7604232430458069), ('sukabumi', 0.7495936155319214), ('bekasi', 0.730721116065979), ('cianjur', 0.7137830853462219), ('depok', 0.6908438801765442), ('cimahi', 0.6668136715888977), ('karawang', 0.6627344489097595), ('garut', 0.6618160009384155), ('tasikmalaya', 0.6616714000701904), ('purwakarta', 0.6609673500061035)]"
3,tangerang,"[('bekasi', 0.7194621562957764), ('cilegon', 0.6684912443161011), ('ciputat', 0.6446429491043091), ('bogor', 0.6443670392036438), ('depok', 0.6321688294410706), ('serpong', 0.6317017078399658), ('pandeglang', 0.623502790927887), ('lebak', 0.6229065656661987), ('pamulang', 0.5990420579910278), ('cikarang', 0.5957491993904114)]"
3,cikarang,"[('kalideres', 0.7147557139396667), ('meruya', 0.7052998542785645), ('kalimalang', 0.701655387878418), ('pejaten', 0.7001461982727051), ('bekasi', 0.6976994276046753), ('ciputat', 0.6947965621948242), ('cikampek', 0.6946147084236145), ('cakung', 0.693048357963562), ('cibitung', 0.6879732608795166), ('kosambi', 0.6851159930229187)]"
3,karawang,"[('purwakarta', 0.7299839854240417), ('subang', 0.724094569683075), ('garut', 0.7088522911071777), ('cianjur', 0.7060446739196777), ('bekasi', 0.6808741092681885), ('tasikmalaya', 0.6708128452301025), ('bogor', 0.6627344489097595), ('ciamis', 0.6591928601264954), ('majalengka', 0.6561384201049805), ('indramayu', 0.6521814465522766)]"
3,cakung,"[('palmerah', 0.8008810877799988), ('kalimalang', 0.7863016724586487), ('jatibening', 0.7740892767906189), ('sunter', 0.7702837586402893), ('mampang', 0.7688398361206055), ('pademangan', 0.7679328322410583), ('grogol', 0.7643294930458069), ('cawang', 0.7521290183067322), ('cideng', 0.7480342984199524), ('cengkareng', 0.7459143996238708)]"
3,cileungsi,"[('citeureup', 0.8217299580574036), ('cibinong', 0.789677083492279), ('jonggol', 0.7882404923439026), ('ciawi', 0.7765514254570007), ('cibitung', 0.7721194624900818), ('cinere', 0.7720155119895935), ('perumnas', 0.7679632306098938), ('kalideres', 0.7666324973106384), ('cinangka', 0.7644937634468079), ('jatiwarna', 0.7635255455970764)]"
