no,daerah,tipe
1880,jetis,kecamatan
1881,tegalrejo,kecamatan
1882,wringin anom,kecamatan
1883,driyorejo,kecamatan
1884,kedamean,kecamatan
1885,menganti,kecamatan
1886,cerme,kecamatan
1887,benjeng,kecamatan
1888,balong panggang,kecamatan
1889,duduk sampeyan,kecamatan
1890,kebomas,kecamatan
1891,gresik,kecamatan
1892,manyar,kecamatan
1893,bungah,kecamatan
1894,sidayu,kecamatan
1895,dukun,kecamatan
1896,panceng,kecamatan
1897,ujung pangkah,kecamatan
1898,sangkapura,kecamatan
1899,tambak,kecamatan
1900,tarik,kecamatan
1901,prambon,kecamatan
1902,krembung,kecamatan
1903,porong,kecamatan
1904,jabon,kecamatan
1905,tanggulangin,kecamatan
1906,candi,kecamatan
1907,tulangan,kecamatan
1908,wonoayu,kecamatan
1909,sukodono,kecamatan
1910,sidoarjo,kecamatan
1911,buduran,kecamatan
1912,sedati,kecamatan
1913,waru,kecamatan
1914,gedangan,kecamatan
1915,taman,kecamatan
1916,krian,kecamatan
1917,balong bendo,kecamatan
1918,jatirejo,kecamatan
1919,gondang,kecamatan
1920,pacet,kecamatan
1921,trawas,kecamatan
1922,ngoro,kecamatan
1923,pungging,kecamatan
1924,kutorejo,kecamatan
1925,mojosari,kecamatan
1926,bangsal,kecamatan
1927,dlanggu,kecamatan
1928,puri,kecamatan
1929,trowulan,kecamatan
1930,sooko,kecamatan
1931,gedek,kecamatan
1932,kemlagi,kecamatan
1933,jetis,kecamatan
1934,dawar blandong,kecamatan
1935,mojoanyar,kecamatan
1936,bandar kedung mulyo,kecamatan
1937,perak,kecamatan
1938,gudo,kecamatan
1939,diwek,kecamatan
1940,ngoro,kecamatan
1941,mojowarno,kecamatan
1942,bareng,kecamatan
1943,wonosalam,kecamatan
1944,mojoagung,kecamatan
1945,somobito,kecamatan
1946,jogo roto,kecamatan
1947,peterongan,kecamatan
1948,jombang,kecamatan
1949,megaluh,kecamatan
1950,tembelang,kecamatan
1951,kesamben,kecamatan
1952,kudu,kecamatan
1953,ploso,kecamatan
1954,kabuh,kecamatan
1955,plandaan,kecamatan
1956,ngusikan,kecamatan
1957,margomulyo,kecamatan
1958,ngraho,kecamatan
1959,tambakrejo,kecamatan
1960,ngambon,kecamatan
1961,bubulan,kecamatan
1962,temayang,kecamatan
1963,sugihwaras,kecamatan
1964,kedungadem,kecamatan
1965,kepoh baru,kecamatan
1966,baureno,kecamatan
1967,kanor,kecamatan
1968,sumberrejo,kecamatan
1969,balen,kecamatan
1970,sukosewu,kecamatan
1971,kapas,kecamatan
1972,bojonegoro,kecamatan
1973,trucuk,kecamatan
1974,dander,kecamatan
1975,ngasem,kecamatan
1976,kalitidu,kecamatan
1977,malo,kecamatan
1978,purwosari,kecamatan
1979,padangan,kecamatan
1980,kasiman,kecamatan
1981,kedewan,kecamatan
1982,gondang,kecamatan
1983,sekar,kecamatan
1984,kenduruan,kecamatan
1985,bangilan,kecamatan
1986,senori,kecamatan
1987,singgahan,kecamatan
1988,montong,kecamatan
1989,parengan,kecamatan
1990,soko,kecamatan
1991,rengel,kecamatan
1992,plumpang,kecamatan
1993,widang,kecamatan
1994,palang,kecamatan
1995,semanding,kecamatan
1996,tuban,kecamatan
1997,jenu,kecamatan
1998,merakurak,kecamatan
1999,kerek,kecamatan
2000,tambakboyo,kecamatan
2001,jatirogo,kecamatan
2002,bancar,kecamatan
2003,grabagan,kecamatan
2004,sukorame,kecamatan
2005,bluluk,kecamatan
2006,ngimbang,kecamatan
2007,sambeng,kecamatan
2008,mantup,kecamatan
2009,kambang bahu,kecamatan
2010,sugio,kecamatan
2011,kedungpring,kecamatan
2012,modo,kecamatan
2013,babat,kecamatan
2014,pucuk,kecamatan
2015,sukodadi,kecamatan
2016,lamongan,kecamatan
2017,tikung,kecamatan
2018,deket,kecamatan
2019,glagah,kecamatan
2020,karangbinangun,kecamatan
2021,turi,kecamatan
2022,kalitengah,kecamatan
2023,karang geneng,kecamatan
2024,sekaran,kecamatan
2025,maduran,kecamatan
2026,laren,kecamatan
2027,solokuro,kecamatan
2028,paciran,kecamatan
2029,brondong,kecamatan
2030,sarirejo,kecamatan
2031,kebonsari,kecamatan
2032,geger,kecamatan
2033,dolopo,kecamatan
2034,dagangan,kecamatan
2035,wungu,kecamatan
2036,kare,kecamatan
2037,gemarang,kecamatan
2038,saradan,kecamatan
2039,pilangkenceng,kecamatan
2040,mejayan,kecamatan
2041,wonoasri,kecamatan
2042,balerejo,kecamatan
2043,madiun,kecamatan
2044,sawahan,kecamatan
2045,jiwan,kecamatan
2046,sine,kecamatan
2047,ngrambe,kecamatan
2048,jogorogo,kecamatan
2049,kendal,kecamatan
2050,geneng,kecamatan
2051,kwadungan,kecamatan
2052,pangkur,kecamatan
2053,karangjati,kecamatan
2054,bringin,kecamatan
2055,padas,kecamatan
2056,ngawi,kecamatan
2057,paron,kecamatan
2058,kedunggalar,kecamatan
2059,pitu,kecamatan
2060,widodaren,kecamatan
2061,mantingan,kecamatan
2062,karanganyar,kecamatan
2063,gerih,kecamatan
2064,kasreman,kecamatan
2065,poncol,kecamatan
2066,parang,kecamatan
2067,lembeyan,kecamatan
2068,takeran,kecamatan
2069,kawedanan,kecamatan
2070,magetan,kecamatan
2071,plaosan,kecamatan
2072,panekan,kecamatan
2073,sukomoro,kecamatan
2074,bendo,kecamatan
2075,maospati,kecamatan
2076,karangrejo,kecamatan
2078,kartoharjo,kecamatan
2079,karas,kecamatan
2080,ngariboyo,kecamatan
2081,nguntoronadi,kecamatan
2082,sidorejo,kecamatan
2083,ngrayun,kecamatan
2084,slahung,kecamatan
2085,bungkal,kecamatan
2086,sambit,kecamatan
2087,sawoo,kecamatan
2088,sooko,kecamatan
2089,pulung,kecamatan
2090,mlarak,kecamatan
2091,siman,kecamatan
2092,jetis,kecamatan
2093,balong,kecamatan
2094,kauman,kecamatan
2095,jambon,kecamatan
2096,badegan,kecamatan
2097,sampung,kecamatan
2098,sukorejo,kecamatan
2099,ponorogo,kecamatan
2100,babadan,kecamatan
2101,jenangan,kecamatan
2102,ngebel,kecamatan
2103,pudak,kecamatan
2104,donorejo,kecamatan
2105,punung,kecamatan
2106,pringkuku,kecamatan
2107,pacitan,kecamatan
2108,kebon agung,kecamatan
2109,arjosari,kecamatan
2110,nawangan,kecamatan
2111,bandar,kecamatan
2112,tegalombo,kecamatan
2113,tulakan,kecamatan
2114,ngadirojo,kecamatan
2115,sudimoro,kecamatan
2116,kras,kecamatan
2117,ringinrejo,kecamatan
2118,ngancar,kecamatan
2119,kepung,kecamatan
2120,puncu,kecamatan
2121,ploso klaten,kecamatan
2122,wates,kecamatan
2123,kandat,kecamatan
2124,ngadiluwih,kecamatan
2125,mojo,kecamatan
2126,semen,kecamatan
2127,banyakan,kecamatan
2128,tarokan,kecamatan
2129,grogol,kecamatan
2130,gampengrejo,kecamatan
2131,gurah,kecamatan
2132,pagu,kecamatan
2133,papar,kecamatan
2134,plemahan,kecamatan
2135,purwoasri,kecamatan
2136,kunjang,kecamatan
2137,pare,kecamatan
2138,kandangan,kecamatan
2139,kayen kidul,kecamatan
2140,ngasem,kecamatan
2141,badas,kecamatan
2142,sawahan,kecamatan
2143,ngetos,kecamatan
2144,berbek,kecamatan
2145,loceret,kecamatan
2146,pace,kecamatan
2147,tanjunganom,kecamatan
2148,prambon,kecamatan
2149,ngronggot,kecamatan
2150,kertosono,kecamatan
2151,patianrowo,kecamatan
2152,baron,kecamatan
2153,gondang,kecamatan
2154,sukomoro,kecamatan
2155,nganjuk,kecamatan
2156,bagor,kecamatan
2157,wilangan,kecamatan
2158,rejoso,kecamatan
2159,ngluyu,kecamatan
2160,lengkong,kecamatan
2161,jatikalen,kecamatan
2162,bakung,kecamatan
2163,wonotirto,kecamatan
2164,panggungrejo,kecamatan
2165,wates,kecamatan
2166,binangun,kecamatan
2167,sutojayan,kecamatan
2168,kademangan,kecamatan
2169,kanigoro,kecamatan
2170,talun,kecamatan
2171,selopuro,kecamatan
2172,kesamben,kecamatan
2173,selorejo,kecamatan
2174,doko,kecamatan
2175,wlingi,kecamatan
2176,gandusari,kecamatan
2177,garum,kecamatan
2178,nglegok,kecamatan
2179,sanankulon,kecamatan
2180,ponggok,kecamatan
2181,srengat,kecamatan
2182,wonodadi,kecamatan
2183,udanawu,kecamatan
2184,besuki,kecamatan
2185,bandung,kecamatan
2186,pakel,kecamatan
2187,campur darat,kecamatan
2188,tanggung gunung,kecamatan
2189,kalidawir,kecamatan
2190,pucang laban,kecamatan
2191,rejotangan,kecamatan
2192,ngunut,kecamatan
2193,sumbergempol,kecamatan
2194,boyolangu,kecamatan
2195,tulungagung,kecamatan
2196,kedungwaru,kecamatan
2197,ngantru,kecamatan
2198,karangrejo,kecamatan
2199,kauman,kecamatan
2200,gondang,kecamatan
2201,pagerwojo,kecamatan
2202,sendang,kecamatan
2203,panggul,kecamatan
2204,munjungan,kecamatan
2205,watulimo,kecamatan
2206,kampak,kecamatan
2207,dongko,kecamatan
2208,pule,kecamatan
2209,karangan,kecamatan
2210,gandusari,kecamatan
2211,durenan,kecamatan
2212,pogalan,kecamatan
2213,trenggalek,kecamatan
2214,tugu,kecamatan
2215,bendungan,kecamatan
2216,suruh,kecamatan
2217,donomulyo,kecamatan
2218,kalipare,kecamatan
2219,pagak,kecamatan
2220,bantur,kecamatan
2221,gedangan,kecamatan
2222,sumber manjing wetan,kecamatan
2223,dampit,kecamatan
2224,tirto yudo,kecamatan
2225,ampelgading,kecamatan
2226,poncokusumo,kecamatan
2227,wajak,kecamatan
2228,turen,kecamatan
2229,pagelaran,kecamatan
2230,gondanglegi,kecamatan
2231,bululawang,kecamatan
2232,kepanjen,kecamatan
2233,sumberpucung,kecamatan
2234,kromengan,kecamatan
2235,wonosari,kecamatan
2236,ngajum,kecamatan
2237,wagir,kecamatan
2238,pakisaji,kecamatan
2239,tajinan,kecamatan
2240,tumpang,kecamatan
2241,pakis,kecamatan
2242,jabung,kecamatan
2243,lawang,kecamatan
2244,singosari,kecamatan
2245,karangploso,kecamatan
2246,dau,kecamatan
2247,pujon,kecamatan
2248,ngantang,kecamatan
2249,kasembon,kecamatan
2250,purwodadi,kecamatan
2251,tutur,kecamatan
2252,puspo,kecamatan
2253,tosari,kecamatan
2254,lumbang,kecamatan
2255,pasrepan,kecamatan
2256,kejayan,kecamatan
2257,wonorejo,kecamatan
2258,purwosari,kecamatan
2259,prigen,kecamatan
2260,sukorejo,kecamatan
2261,pandaan,kecamatan
2262,gempol,kecamatan
2263,beji,kecamatan
2264,bangil,kecamatan
2265,rembang,kecamatan
2266,kraton,kecamatan
2267,pohjentrek,kecamatan
2268,gondang wetan,kecamatan
2269,rejoso,kecamatan
2270,winongan,kecamatan
2271,grati,kecamatan
2272,lekok,kecamatan
2273,nguling,kecamatan
2274,sukapura,kecamatan
2275,sumber,kecamatan
2276,kuripan,kecamatan
2277,bantaran,kecamatan
2278,leces,kecamatan
2279,tegal siwalan,kecamatan
2280,banyu anyar,kecamatan
2281,tiris,kecamatan
2282,krucil,kecamatan
2283,gading,kecamatan
2284,pakuniran,kecamatan
2285,kota anyar,kecamatan
2286,paiton,kecamatan
2287,besuk,kecamatan
2288,kraksaan,kecamatan
2289,krejengan,kecamatan
2290,pajarakan,kecamatan
2291,maron,kecamatan
2292,gending,kecamatan
2293,dringu,kecamatan
2294,wonomerto,kecamatan
2295,lumbang,kecamatan
2296,tongas,kecamatan
2297,sumberasih,kecamatan
2298,tempursari,kecamatan
2299,pronojiwo,kecamatan
2300,candipuro,kecamatan
2301,pasirian,kecamatan
2302,tempeh,kecamatan
2303,kunir,kecamatan
2304,yosowilangun,kecamatan
2305,rowokangkung,kecamatan
2306,tekung,kecamatan
2307,lumajang,kecamatan
2308,pasrujambe,kecamatan
2309,senduro,kecamatan
2310,padang,kecamatan
2311,sukodono,kecamatan
2312,jatiroto,kecamatan
2313,randuagung,kecamatan
2314,kedungjajang,kecamatan
2315,gucialit,kecamatan
2316,klakah,kecamatan
2317,ranuyoso,kecamatan
2318,sumbersuko,kecamatan
2319,maesan,kecamatan
2320,grujugan,kecamatan
2321,tamanan,kecamatan
2322,pujer,kecamatan
2323,tlogosari,kecamatan
2324,sukosari,kecamatan
2325,tapen,kecamatan
2326,wonosari,kecamatan
2327,tenggarang,kecamatan
2328,bondowoso,kecamatan
2329,curahdami,kecamatan
2330,pakem,kecamatan
2331,wringin,kecamatan
2332,tegalampel,kecamatan
2333,klabang,kecamatan
2334,prajekan,kecamatan
2335,cermee,kecamatan
2336,binakal,kecamatan
2337,sumber wringin,kecamatan
2338,sempol,kecamatan
2339,jambesari darus sholah,kecamatan
2340,taman krocok,kecamatan
2341,botolinggo,kecamatan
2342,sumber malang,kecamatan
2343,jatibanteng,kecamatan
2344,banyuglugur,kecamatan
2345,besuki,kecamatan
2346,suboh,kecamatan
2347,mlandingan,kecamatan
2348,bungatan,kecamatan
2349,kendit,kecamatan
2350,panarukan,kecamatan
2351,situbondo,kecamatan
2352,mangaran,kecamatan
2353,panji,kecamatan
2354,kapongan,kecamatan
2355,arjasa,kecamatan
2356,jangkar,kecamatan
2357,asembagus,kecamatan
2358,banyuputih,kecamatan
2359,kencong,kecamatan
2360,gumuk mas,kecamatan
2361,puger,kecamatan
2362,wuluhan,kecamatan
2363,ambulu,kecamatan
2364,tempurejo,kecamatan
2365,silo,kecamatan
2366,mayang,kecamatan
2367,mumbulsari,kecamatan
2368,jenggawah,kecamatan
2369,ajung,kecamatan
2370,rambipuji,kecamatan
2371,balung,kecamatan
2372,umbulsari,kecamatan
2373,semboro,kecamatan
2374,jombang,kecamatan
2375,sumberbaru,kecamatan
2376,tanggul,kecamatan
2377,bangsalsari,kecamatan
2378,panti,kecamatan
2379,sukorambi,kecamatan
2380,arjasa,kecamatan
2381,pakusari,kecamatan
2382,kalisat,kecamatan
2383,ledok ombo,kecamatan
2384,sumberjambe,kecamatan
2385,sukowono,kecamatan
2386,jelbuk,kecamatan
2387,kaliwates,kecamatan
2388,sumbersari,kecamatan
2389,patrang,kecamatan
2390,pesanggaran,kecamatan
2391,bangorejo,kecamatan
2392,purwoharjo,kecamatan
2393,tegaldlimo,kecamatan
2394,muncar,kecamatan
2395,cluring,kecamatan
2396,gambiran,kecamatan
2397,glenmore,kecamatan
2398,kalibaru,kecamatan
2399,genteng,kecamatan
2400,srono,kecamatan
2401,rogojampi,kecamatan
2402,kabat,kecamatan
2403,singojuruh,kecamatan
2404,sempu,kecamatan
2405,songgon,kecamatan
2406,glagah,kecamatan
2407,banyuwangi,kecamatan
2408,giri,kecamatan
2409,kalipuro,kecamatan
2410,wongsorejo,kecamatan
2411,licin,kecamatan
2412,tegalsari,kecamatan
2413,siliragung,kecamatan
2414,tlanakan,kecamatan
2415,pademawu,kecamatan
2416,galis,kecamatan
2417,larangan,kecamatan
2418,pamekasan,kecamatan
2419,proppo,kecamatan
2420,palengaan,kecamatan
2421,pegantenan,kecamatan
2422,kadur,kecamatan
2423,pakong,kecamatan
2424,waru,kecamatan
2425,batu marmer,kecamatan
2426,pasean,kecamatan
2427,sreseh,kecamatan
2428,torjun,kecamatan
2429,sampang,kecamatan
2430,camplong,kecamatan
2431,omben,kecamatan
2432,kedungdung,kecamatan
2433,jrengik,kecamatan
2434,tambelangan,kecamatan
2435,banyuates,kecamatan
2436,robatal,kecamatan
2437,ketapang,kecamatan
2438,sokobanah,kecamatan
2439,karangpenang,kecamatan
2440,pangarengan,kecamatan
2441,pragaan,kecamatan
2442,bluto,kecamatan
2443,saronggi,kecamatan
2444,giligenteng,kecamatan
2445,talango,kecamatan
2446,kalianget,kecamatan
2447,kota sumenep,kecamatan
2448,lenteng,kecamatan
2449,ganding,kecamatan
2450,guluk guluk,kecamatan
2451,pasongsongan,kecamatan
2452,ambunten,kecamatan
2453,rubaru,kecamatan
2454,dasuk,kecamatan
2455,manding,kecamatan
2456,batuputih,kecamatan
2457,gapura,kecamatan
2458,batang batang,kecamatan
2459,dungkek,kecamatan
2460,nonggunong,kecamatan
2461,gayam,kecamatan
2462,ra as,kecamatan
2463,sapeken,kecamatan
2464,arjasa,kecamatan
2465,masalembu,kecamatan
2466,batuan,kecamatan
2467,kangayan,kecamatan
2468,kamal,kecamatan
2469,labang,kecamatan
2470,kwanyar,kecamatan
2471,modung,kecamatan
2472,blega,kecamatan
2473,konang,kecamatan
2474,galis,kecamatan
2475,tanah merah,kecamatan
2476,tragah,kecamatan
2477,socah,kecamatan
2478,bangkalan,kecamatan
2479,burneh,kecamatan
2480,arosbaya,kecamatan
2481,geger,kecamatan
2482,kokop,kecamatan
2483,tanjungbumi,kecamatan
2484,sepulu,kecamatan
2485,klampis,kecamatan
2486,karang pilang,kecamatan
2487,jambangan,kecamatan
2488,gayungan,kecamatan
2489,wonocolo,kecamatan
2490,tenggilis mejoyo,kecamatan
2491,gununganyar,kecamatan
2492,rungkut,kecamatan
2493,sukolilo,kecamatan
2494,mulyorejo,kecamatan
2495,gubeng,kecamatan
2496,wonokromo,kecamatan
2497,dukuh pakis,kecamatan
2498,wiyung,kecamatan
2499,lakarsantri,kecamatan
2500,tandes,kecamatan
2501,sukomanunggal,kecamatan
2502,sawahan,kecamatan
2503,tegal sari,kecamatan
2504,genteng,kecamatan
2505,tambaksari,kecamatan
2506,kenjeran,kecamatan
2507,simokerto,kecamatan
2508,semampir,kecamatan
2509,pabean cantian,kecamatan
2510,bubutan,kecamatan
2511,krembangan,kecamatan
2512,asemrowo,kecamatan
2513,benowo,kecamatan
2514,bulak,kecamatan
2515,pakal,kecamatan
2516,sambi kerep,kecamatan
2517,kedungkandang,kecamatan
2518,sukun,kecamatan
2519,klojen,kecamatan
2520,blimbing,kecamatan
2521,lowokwaru,kecamatan
2522,manguharjo,kecamatan
2523,taman,kecamatan
2524,kartoharjo,kecamatan
2525,mojoroto,kecamatan
2526,kota kediri,kecamatan
2527,pesantren,kecamatan
2528,prajurit kulon,kecamatan
2529,magersari,kecamatan
2530,sukorejo,kecamatan
2531,kepanjen kidul,kecamatan
2532,sanan wetan,kecamatan
2533,gadingrejo,kecamatan
2534,purworejo,kecamatan
2535,bugul kidul,kecamatan
2536,panggungrejo,kecamatan
2537,kademangan,kecamatan
2538,wonoasih,kecamatan
2539,mayangan,kecamatan
2540,kedopok,kecamatan
2541,kanigaran,kecamatan
2542,batu,kecamatan
2543,junrejo,kecamatan
2544,bumiaji,kecamatan
2545,lhoong,kecamatan
2546,lho nga,kecamatan
2547,indrapuri,kecamatan
2548,seulimeum,kecamatan
2549,mesjid raya,kecamatan
2550,darussalam,kecamatan
2551,kuta baro,kecamatan
2552,montasik,kecamatan
2553,ingin jaya,kecamatan
2554,suka makmur,kecamatan
2555,darul imarah,kecamatan
2556,peukan bada,kecamatan
2557,pulo aceh,kecamatan
2558,leupung,kecamatan
2559,kuta malaka,kecamatan
2560,leumbah seulewah,kecamatan
2561,kota jantho,kecamatan
2562,baitussalam,kecamatan
2563,krung barona jaya,kecamatan
2564,simpang tiga,kecamatan
2565,kuta cot glie,kecamatan
2566,darul kamal,kecamatan
2567,blang bintang,kecamatan
2568,geumpang,kecamatan
2569,glumpang tiga,kecamatan
2570,mutiara,kecamatan
2571,tiro/truseb,kecamatan
2572,tangse,kecamatan
2573,sakti,kecamatan
2574,mila,kecamatan
2575,padang tiji,kecamatan
2576,delima,kecamatan
2577,indrajaya,kecamatan
2578,peukan baru,kecamatan
2579,kembang tanjung,kecamatan
2580,simpang tiga,kecamatan
2581,kota sigli,kecamatan
2582,pidie,kecamatan
2583,batee,kecamatan
2584,muara tiga,kecamatan
2585,mane,kecamatan
2586,grong-grong,kecamatan
2587,mutiara timur,kecamatan
2588,glupang baro,kecamatan
2589,keumala,kecamatan
2590,titeuae,kecamatan
2591,sawang,kecamatan
2592,nisam,kecamatan
2593,kuta makmur,kecamatan
2594,syamtalira bayu,kecamatan
2595,meurah mulia,kecamatan
2596,matangkuli,kecamatan
2597,cot girek,kecamatan
2598,tanah jambo aye,kecamatan
2599,seunudon,kecamatan
2600,baktiya,kecamatan
2601,tanah luas,kecamatan
2602,samudera,kecamatan
2603,syamtalira aron,kecamatan
2604,tanah pasir,kecamatan
2605,langkahan,kecamatan
2606,baktiya barat,kecamatan
2607,simpang keramat,kecamatan
2608,nibong,kecamatan
2609,paya bakong,kecamatan
2610,muara batu,kecamatan
2611,dewantara,kecamatan
2612,lhoksukon,kecamatan
2613,lapang,kecamatan
2614,pirak timu,kecamatan
2615,geureudong pase,kecamatan
2616,banda baro,kecamatan
2617,nisam antara,kecamatan
2618,serba jadi,kecamatan
2619,birem bayeun,kecamatan
2620,rantau selamat,kecamatan
2621,peureulak,kecamatan
2622,ranto peureulak,kecamatan
2623,idi rayeuk,kecamatan
2624,darul aman,kecamatan
2625,nurussalam,kecamatan
2626,julok,kecamatan
2627,pante beudari,kecamatan
2628,simpang ulim,kecamatan
2629,sungai raya,kecamatan
2630,peureulak timur,kecamatan
2631,peureulak barat,kecamatan
2632,banda alam,kecamatan
2633,idi tunong,kecamatan
2634,peudawa,kecamatan
2635,indra makmur,kecamatan
2636,madat,kecamatan
2637,simpang jernih,kecamatan
2638,darul ihsan,kecamatan
2639,peunaron,kecamatan
2640,idi timur,kecamatan
2641,darul falah,kecamatan
2642,lingge,kecamatan
2643,bintang,kecamatan
2644,pegasing,kecamatan
2645,bebesen,kecamatan
2646,silih nara,kecamatan
2647,kuta panang,kecamatan
2648,ketol,kecamatan
2649,celala,kecamatan
2650,kebayakan,kecamatan
2651,laut tawar,kecamatan
2652,atu lintang,kecamatan
2653,jagong jeget,kecamatan
2654,bies,kecamatan
2655,rusip antara,kecamatan
2656,johan pahlawan,kecamatan
2657,samatiga,kecamatan
2658,woyla,kecamatan
2659,kaway xvi,kecamatan
2660,sungai mas,kecamatan
2661,bubon,kecamatan
2662,arongan lambalek,kecamatan
2663,meureubo,kecamatan
2664,pantee ceureumen,kecamatan
2665,woyla barat,kecamatan
2666,woyla timur,kecamatan
2667,panton reu,kecamatan
2668,trumon,kecamatan
2669,bakongan,kecamatan
2670,kluet selatan,kecamatan
2671,kluet utara,kecamatan
2672,tapak tuan,kecamatan
2673,samadua,kecamatan
2674,sawang,kecamatan
2675,meukek,kecamatan
2676,labuhan haji,kecamatan
2677,pasie raja,kecamatan
2678,trumon timur,kecamatan
2679,kluet timur,kecamatan
2680,bakongan timur,kecamatan
2681,kluet tengah,kecamatan
2682,labuhan haji barat,kecamatan
2683,labuhan haji timur,kecamatan
2684,kota bahagia,kecamatan
2685,trumon tengah,kecamatan
2686,lawe alas,kecamatan
2687,lawe sigala-gala,kecamatan
2688,bambel,kecamatan
2689,babussalam,kecamatan
2690,badar,kecamatan
2691,darul hasanah,kecamatan
2692,babul makmur,kecamatan
2693,lawe bulan,kecamatan
2694,bukit tusam,kecamatan
2695,semadam,kecamatan
2696,babul rahmat,kecamatan
2697,ketambe,kecamatan
2698,deleng pokhkisen,kecamatan
2699,lawe sumur,kecamatan
2700,tanoh alas,kecamatan
2701,lueser,kecamatan
2702,teupah selatan,kecamatan
2703,simeulue timur,kecamatan
2704,simeulue tengah,kecamatan
2705,salang,kecamatan
2706,simeulue barat,kecamatan
2707,teupah barat,kecamatan
2708,teluk dalam,kecamatan
2709,alafan,kecamatan
2710,samalanga,kecamatan
2711,pandrah,kecamatan
2712,jeunib,kecamatan
2713,peudada,kecamatan
2714,juli,kecamatan
2715,jeumpa,kecamatan
2716,jangka,kecamatan
2717,peusangan,kecamatan
2718,makmur,kecamatan
2719,ganda pura,kecamatan
2720,simpang mamplam,kecamatan
2721,peulimbang,kecamatan
2722,kota juang,kecamatan
2723,kuala,kecamatan
2724,peusangan selatan,kecamatan
2725,peusangan siblah krueng,kecamatan
2726,kuta blang,kecamatan
2727,pulau banyak,kecamatan
2728,singkil,kecamatan
2729,simpang kanan,kecamatan
2730,singkil utara,kecamatan
2731,gunung mariah,kecamatan
2732,danau paris,kecamatan
2733,suro makmur,kecamatan
2734,kuta baharu,kecamatan
2735,singkohor,kecamatan
2736,kuala baru,kecamatan
2737,pulau banyak barat,kecamatan
2738,tamiang hulu,kecamatan
2739,kejuruan muda,kecamatan
2740,kota kuala simpang,kecamatan
2741,seruway,kecamatan
2742,bendahara,kecamatan
2743,karang baru,kecamatan
2744,manyak payed,kecamatan
2745,rantau,kecamatan
2746,bandar mulya,kecamatan
2747,bandar pusaka,kecamatan
2748,tenggulun,kecamatan
2749,sekerak,kecamatan
2750,darul makmur,kecamatan
2751,kuala,kecamatan
2752,beutong,kecamatan
2753,seunagan,kecamatan
2754,seunagan timur,kecamatan
2755,kuala pesisir,kecamatan
2756,tadu raya,kecamatan
2757,suka makmue,kecamatan
2758,tripa makmur,kecamatan
2759,teunom,kecamatan
2760,krueng sabee,kecamatan
2761,setia bakti,kecamatan
2762,sampoiniet,kecamatan
2763,jaya,kecamatan
2764,panga,kecamatan
2765,indra jaya,kecamatan
2766,darul hikmah,kecamatan
2767,pasie raya,kecamatan
2768,manggeng,kecamatan
2769,tangan-tangan,kecamatan
2770,blang pidie,kecamatan
2771,susoh,kecamatan
2772,kuala batee,kecamatan
2773,babah rot,kecamatan
2774,lembah sabil,kecamatan
2775,setia bakti,kecamatan
2776,jeumpa,kecamatan
2777,blang kejeran,kecamatan
2778,kuta panjang,kecamatan
2779,rikit gaib,kecamatan
2780,terangon,kecamatan
2781,pinding,kecamatan
2782,blang jerango,kecamatan
2783,puteri betung,kecamatan
2784,dabung gelang,kecamatan
2785,blang pegayon,kecamatan
2786,pantan cuaca,kecamatan
2787,tripe jaya,kecamatan
2788,timang gajah,kecamatan
2789,bukit,kecamatan
2790,bandar,kecamatan
2791,permata,kecamatan
2792,pintu rime gayo,kecamatan
2793,wih pesam,kecamatan
2794,syiah utama,kecamatan
2795,bener kelipah,kecamatan
2796,mesidah,kecamatan
2797,gajah putih,kecamatan
2798,meureudu,kecamatan
2799,ulim,kecamatan
2800,jangka buya,kecamatan
2801,bandar dua,kecamatan
2802,meurah dua,kecamatan
2803,bandar baru,kecamatan
2804,panteraja,kecamatan
2805,trienggadeng,kecamatan
2806,sukajaya,kecamatan
2807,sukakarya,kecamatan
2808,meuraxa,kecamatan
2809,baiturrahman,kecamatan
2810,kuta alam,kecamatan
2811,syiah kuala,kecamatan
2812,kuta raja,kecamatan
2813,ulee kareng,kecamatan
2814,lueng bata,kecamatan
2815,banda raya,kecamatan
2816,jaya baru,kecamatan
2817,blang mangat,kecamatan
2818,muara dua,kecamatan
2819,banda sakti,kecamatan
2820,muara satu,kecamatan
2821,langsa timur,kecamatan
2822,langsa barat,kecamatan
2823,langsa kota,kecamatan
2824,langsa lama,kecamatan
2825,langsa baro,kecamatan
2826,simpang kiri,kecamatan
2827,penanggalan,kecamatan
2828,rundeng,kecamatan
2829,sultan daulat,kecamatan
2830,longkib,kecamatan
2831,gunung meriah,kecamatan
2832,sinembah tanjung muda hul,kecamatan
2833,sibolangit,kecamatan
2834,kutaiimbaru,kecamatan
2835,pancur batu,kecamatan
2836,namo rambe,kecamatan
2837,sibiru-biru,kecamatan
2838,bangun purba,kecamatan
2839,galang,kecamatan
2840,tanjung morawa,kecamatan
2841,patumbak,kecamatan
2842,deli tua,kecamatan
2843,sunggal,kecamatan
2844,hamparan perak,kecamatan
2845,labuhan deli,kecamatan
2846,percut sei tuan,kecamatan
2847,batang kuis,kecamatan
2848,pantai labu,kecamatan
2849,beringin,kecamatan
2850,lubuk pakam,kecamatan
2851,pagar marbau,kecamatan
2852,stm hilir,kecamatan
2853,bohorok,kecamatan
2854,salapian,kecamatan
2855,sei bingai,kecamatan
2856,kuala,kecamatan
2857,selesai,kecamatan
2858,binjai,kecamatan
2859,stabat,kecamatan
