tingkat setelah parent,parent,similarity
3,tegal,"[('pekalongan', 0.7270418405532837), ('semarang', 0.7242744565010071), ('slawi', 0.7232685685157776), ('brebes', 0.6984764337539673), ('banyumas', 0.6907282471656799), ('cilacap', 0.6837839484214783), ('blitar', 0.6653432250022888), ('cirebon', 0.662901759147644), ('blora', 0.6560761332511902), ('madiun', 0.6516520380973816)]"
3,malang,"[('surabaya', 0.724402129650116), ('kediri', 0.7242322564125061), ('semarang', 0.720335066318512), ('blitar', 0.6941945552825928), ('bandung', 0.6888080835342407), ('jember', 0.685132622718811), ('mojokerto', 0.6767305135726929), ('probolinggo', 0.6701105237007141), ('madiun', 0.6524862051010132), ('magelang', 0.6356691122055054)]"
3,salatiga,"[('magelang', 0.7232397794723511), ('semarang', 0.7184394001960754), ('pekalongan', 0.6997231245040894), ('surakarta', 0.6889052391052246), ('klaten', 0.6868507862091064), ('mungkid', 0.669326663017273), ('ambarawa', 0.6595622301101685), ('sragen', 0.6546741724014282), ('purwokerto', 0.6503782272338867), ('gombong', 0.6410027742385864)]"
3,purwokerto,"[('kutoarjo', 0.7460398077964783), ('maos', 0.7184081077575684), ('semarang', 0.7121427059173584), ('kroya', 0.7045246958732605), ('cilacap', 0.700181245803833), ('gombong', 0.6655066013336182), ('madiun', 0.6618604063987732), ('pekalongan', 0.6560389995574951), ('kertosono', 0.6534048914909363), ('salatiga', 0.6503781676292419)]"
3,surabaya,"[('semarang', 0.7880793213844299), ('malang', 0.7244021892547607), ('jakarta', 0.6788262128829956), ('madiun', 0.6739822030067444), ('bandung', 0.6485385298728943), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708095550537), ('palembang', 0.6329647898674011), ('surakarta', 0.6244344711303711), ('jember', 0.6240251064300537)]"
3,kediri,"[('mojokerto', 0.7604965567588806), ('pasuruan', 0.7587558031082153), ('blitar', 0.7578976154327393), ('probolinggo', 0.7322205305099487), ('malang', 0.7242322564125061), ('bojonegoro', 0.7185395956039429), ('lamongan', 0.7119742035865784), ('singosari', 0.7077072262763977), ('tulungagung', 0.7048220038414001), ('madiun', 0.7018263339996338)]"
3,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497219443321228), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243847846984863), ('tegal', 0.7242745161056519), ('malang', 0.720335066318512), ('salatiga', 0.7184394598007202), ('purwokerto', 0.7121427059173584)]"
3,blitar,"[('bojonegoro', 0.7735556364059448), ('kediri', 0.7578976154327393), ('tulungagung', 0.7432873249053955), ('mojokerto', 0.7379642724990845), ('probolinggo', 0.7341976165771484), ('pasuruan', 0.7308999300003052), ('madiun', 0.7289072275161743), ('trenggalek', 0.7249043583869934), ('sragen', 0.7234084010124207), ('ngawi', 0.7109808325767517)]"
3,bandung,"[('bogor', 0.7604233026504517), ('malang', 0.688808023929596), ('tasikmalaya', 0.6824037432670593), ('cimahi', 0.6755126714706421), ('purwakarta', 0.6576993465423584), ('cianjur', 0.6559135317802429), ('sukabumi', 0.6496258974075317), ('surabaya', 0.6485385298728943), ('jakarta', 0.6456542611122131), ('semarang', 0.6368222236633301)]"
3,jember,"[('probolinggo', 0.7383838295936584), ('jombang', 0.7361061573028564), ('banyuwangi', 0.7293094396591187), ('lumajang', 0.7280812859535217), ('situbondo', 0.7233957052230835), ('bondowoso', 0.7222006916999817), ('pasuruan', 0.7121523022651672), ('bojonegoro', 0.7067436575889587), ('madiun', 0.7049100399017334), ('malang', 0.6851325631141663)]"
3,mojokerto,"[('pasuruan', 0.8099384307861328), ('sidoarjo', 0.7907182574272156), ('probolinggo', 0.7726949453353882), ('kediri', 0.7604966759681702), ('bojonegoro', 0.7471256256103516), ('tuban', 0.7409646511077881), ('ngawi', 0.7407355308532715), ('blitar', 0.7379642128944397), ('krian', 0.7376633286476135), ('mojosari', 0.7375309467315674)]"
3,probolinggo,"[('pasuruan', 0.7849997282028198), ('tulungagung', 0.7838110327720642), ('situbondo', 0.7833696007728577), ('mojokerto', 0.7726949453353882), ('kraksaan', 0.7673973441123962), ('paiton', 0.7624169588088989), ('bondowoso', 0.7504424452781677), ('bojonegoro', 0.745444655418396), ('jember', 0.7383838295936584), ('pamekasan', 0.7380563020706177)]"
3,madiun,"[('mojokerto', 0.7328988313674927), ('magelang', 0.7303693294525146), ('blitar', 0.7289073467254639), ('semarang', 0.7243849039077759), ('pasuruan', 0.7180318832397461), ('jombang', 0.7109017372131348), ('jember', 0.7049100995063782), ('kediri', 0.7018264532089233), ('cilacap', 0.6916696429252625), ('ngawi', 0.6870994567871094)]"
