tingkat setelah parent,parent,similarity
3,palembang,"[('makassar', 0.7024365663528442), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544742584228516), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474036574363708), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647302627563), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261778473854065), ('medan', 0.625846803188324)]"
3,melayu,"[('bugis', 0.655265748500824), ('minangkabau', 0.6425200700759888), ('minang', 0.6297527551651001), ('tionghoa', 0.6003198027610779), ('malaysia', 0.5836902260780334), ('sunda', 0.5753360986709595), ('banjar', 0.5751932859420776), ('johor', 0.565862774848938), ('betawi', 0.5624411702156067), ('kedayan', 0.5613030195236206)]"
3,bali,"[('ubud', 0.6467413902282715), ('denpasar', 0.6421011090278625), ('gianyar', 0.6264258027076721), ('tabanan', 0.6217014789581299), ('buleleng', 0.6193944215774536), ('badung', 0.6185951828956604), ('madura', 0.6172253489494324), ('lombok', 0.6080390214920044), ('sanur', 0.6027504205703735), ('singaraja', 0.5886427760124207)]"
3,singapura,"[('malaysia', 0.8074567317962646), ('johor', 0.6513969898223877), ('singapore', 0.6461361050605774), ('thailand', 0.638859748840332), ('taiwan', 0.6294376254081726), ('penang', 0.6193045377731323), ('brunei', 0.6020339131355286), ('australia', 0.5925828218460083), ('malaya', 0.5903350114822388), ('hongkong', 0.5836425423622131)]"
3,sarawak,"[('sabah', 0.8506073951721191), ('serawak', 0.7406046986579895), ('kuching', 0.7392339706420898), ('malaysia', 0.7158287763595581), ('johor', 0.703588604927063), ('tawau', 0.6886358261108398), ('selangor', 0.682752788066864), ('terengganu', 0.6705237030982971), ('kedah', 0.6667562127113342), ('pahang', 0.6661775708198547)]"
3,johor,"[('kelantan', 0.8226131796836853), ('melaka', 0.8138214349746704), ('selangor', 0.8046059608459473), ('pahang', 0.7942725419998169), ('kedah', 0.7930154204368591), ('terengganu', 0.7628317475318909), ('muar', 0.748997688293457), ('bahru', 0.7483139038085938), ('perlis', 0.7331092357635498), ('malaysia', 0.7081537842750549)]"
3,brunei,"[('brunai', 0.7473835349082947), ('malaysia', 0.7045673727989197), ('darussalam', 0.6470947265625), ('sarawak', 0.6405410766601562), ('kelantan', 0.6360917687416077), ('serawak', 0.6332159042358398), ('johor', 0.6314396858215332), ('kopelma', 0.628724217414856), ('terengganu', 0.622407078742981), ('sabah', 0.6219865083694458)]"
3,sabah,"[('sarawak', 0.8506073355674744), ('tawau', 0.7850345373153687), ('serawak', 0.752701461315155), ('kelantan', 0.7095235586166382), ('kuching', 0.7016472816467285), ('johor', 0.6970428228378296), ('malaysia', 0.6961515545845032), ('semporna', 0.6849349737167358), ('pahang', 0.6762970685958862), ('terengganu', 0.6743122339248657)]"
3,malaya,"[('malaysia', 0.666608452796936), ('sarawak', 0.6362494230270386), ('johor', 0.6288459300994873), ('sabah', 0.6143691539764404), ('borneo', 0.6016998887062073), ('singapura', 0.5903350114822388), ('serawak', 0.5862522125244141), ('burma', 0.5844748020172119), ('melaka', 0.5802474617958069), ('ceylon', 0.563252329826355)]"
3,kelantan,"[('kedah', 0.8569526672363281), ('terengganu', 0.8294969201087952), ('pahang', 0.823972225189209), ('johor', 0.8226131200790405), ('selangor', 0.8194577693939209), ('perlis', 0.8010060787200928), ('melaka', 0.765783965587616), ('muar', 0.7135698795318604), ('sabah', 0.7095235586166382), ('segamat', 0.6827465295791626)]"
