tingkat setelah parent,parent,similarity
3,pekerjaannya,"[('profesinya', 0.7297244071960449), ('aktivitasnya', 0.6782960295677185), ('pekerjaan', 0.6667805314064026), ('tugasnya', 0.6320447325706482), ('kegiatannya', 0.6198146939277649), ('pekerjaanya', 0.5851884484291077), ('kehidupannya', 0.5733708143234253), ('kuliahnya', 0.5589251518249512), ('studinya', 0.557468056678772), ('bisnisnya', 0.5525133013725281)]"
3,masa,"[('dimasa', 0.7738232016563416), ('zaman', 0.6558017134666443), ('periode', 0.6331785321235657), ('era', 0.5964541435241699), ('jaman', 0.570105791091919), ('masanya', 0.5493943691253662), ('semasa', 0.5187506675720215), ('tahun', 0.504937469959259), ('zamannya', 0.47771820425987244), ('waktu', 0.44010889530181885)]"
3,cuti,"[('hiatus', 0.49293646216392517), ('istirahat', 0.4910961389541626), ('kuliahnya', 0.4839228093624115), ('kuliah', 0.48076140880584717), ('liburan', 0.47105562686920166), ('kontraknya', 0.4701141119003296), ('kepergiannya', 0.46712177991867065), ('penangguhan', 0.4633679986000061), ('kelulusannya', 0.4574700891971588), ('magang', 0.4573872983455658)]"
3,menit,"[('detik', 0.7528502941131592), ('jam', 0.7242035269737244), ('sejam', 0.6345894932746887), ('semenit', 0.6221640110015869), ('minggu', 0.5794610977172852), ('milidetik', 0.5477977395057678), ('sebulan', 0.5272974371910095), ('seminggu', 0.5181542038917542), ('hitungan', 0.5020907521247864), ('pukul', 0.4941784739494324)]"
3,detik,"[('menit', 0.7528502941131592), ('jam', 0.6582714915275574), ('milidetik', 0.6231894493103027), ('sepersekian', 0.6010153889656067), ('hitungan', 0.589398980140686), ('semenit', 0.5594877004623413), ('selang', 0.5344513654708862), ('interval', 0.5259149670600891), ('sejam', 0.5084478259086609), ('frame', 0.4994661808013916)]"
3,minggu,"[('hari', 0.6785522699356079), ('bulan', 0.6348052620887756), ('jam', 0.6154540181159973), ('pekan', 0.5994728207588196), ('menit', 0.5794610381126404), ('sebulan', 0.5678807497024536), ('sepekan', 0.5613594055175781), ('seminggu', 0.5481929779052734), ('malam', 0.5339877009391785), ('setahun', 0.5315684080123901)]"
3,sejam,"[('sebulan', 0.6990348100662231), ('semenit', 0.6707972288131714), ('menit', 0.6345894932746887), ('jam', 0.6150257587432861), ('seminggu', 0.6062909960746765), ('setahun', 0.6022140979766846), ('sepekan', 0.5826810598373413), ('seabad', 0.5575070381164551), ('seharian', 0.535890519618988), ('minggu', 0.5123185515403748)]"
3,pukul,"[('wita', 0.6603846549987793), ('wib', 0.632785439491272), ('pagi', 0.6206311583518982), ('dinihari', 0.6031476855278015), ('jam', 0.5926239490509033), ('edt', 0.5799222588539124), ('sore', 0.565010666847229), ('kst', 0.5626233816146851), ('gmt', 0.5608829855918884), ('senin', 0.5602376461029053)]"
3,hari,"[('harinya', 0.686499297618866), ('minggu', 0.6785523295402527), ('malam', 0.6146321892738342), ('bulan', 0.593883752822876), ('pekan', 0.5820012092590332), ('jam', 0.5792282819747925), ('pagi', 0.5320126414299011), ('jumat', 0.5302468538284302), ('perayaan', 0.5301728248596191), ('haripun', 0.5192945599555969)]"
3,berjam,"[('ytse', 0.6757763624191284), ('berhari', 0.632967472076416), ('zapolski', 0.622870147228241), ('semalaman', 0.6184681057929993), ('kukuk', 0.6121392250061035), ('iyyatul', 0.6009610295295715), ('jam', 0.5704294443130493), ('weker', 0.5635272264480591), ('def', 0.5554454922676086), ('seharian', 0.5548696517944336)]"
3,semenit,"[('sejam', 0.6707973480224609), ('sebulan', 0.6515899896621704), ('menit', 0.6221640110015869), ('seminggu', 0.6189592480659485), ('setahun', 0.5776942372322083), ('sepekan', 0.5758584141731262), ('didiamkan', 0.575020968914032), ('detik', 0.5594877004623413), ('jam', 0.5562298893928528), ('milidetik', 0.5511677861213684)]"
3,milidetik,"[('mikrometer', 0.6727086901664734), ('interval', 0.6530756950378418), ('detik', 0.6231895089149475), ('nanodetik', 0.6014235019683838), ('mev', 0.6011835336685181), ('ampere', 0.592593789100647), ('nanometer', 0.586647629737854), ('kbps', 0.5843481421470642), ('rentang', 0.5830376148223877), ('megabyte', 0.5821698307991028)]"
3,seminggu,"[('sebulan', 0.7945083379745483), ('setahun', 0.747596800327301), ('sepekan', 0.6377504467964172), ('semenit', 0.6189592480659485), ('sejam', 0.6062909960746765), ('seabad', 0.5595925450325012), ('minggu', 0.5481929779052734), ('menit', 0.5181541442871094), ('jam', 0.5177569389343262), ('seharian', 0.5060070753097534)]"
3,sedangkan,"[('sementara', 0.6645539402961731), ('maka', 0.5488855838775635), ('sehingga', 0.5405811667442322), ('tetapi', 0.5254537463188171), ('yang', 0.5167858004570007), ('atau', 0.49640268087387085), ('adapun', 0.49063175916671753), ('namun', 0.4872501790523529), ('padahal', 0.4788563847541809), ('dan', 0.47111961245536804)]"
3,saat,"[('ketika', 0.7700065970420837), ('sementara', 0.63981032371521), ('setelah', 0.5713344812393188), ('kala', 0.5658323764801025), ('disaat', 0.5616037249565125), ('sewaktu', 0.5065683126449585), ('dimana', 0.5042053461074829), ('akhirnya', 0.5013895630836487), ('karena', 0.5012362003326416), ('waktu', 0.48490312695503235)]"
3,selain,"[('disamping', 0.8526422381401062), ('samping', 0.6822804808616638), ('sementara', 0.639387309551239), ('kala', 0.6017578840255737), ('semacam', 0.5654506683349609), ('saat', 0.4733080267906189), ('sebab', 0.46151095628738403), ('karena', 0.41595718264579773), ('sebabnya', 0.4103890359401703), ('sendiri', 0.40863174200057983)]"
3,ketika,"[('saat', 0.7700065970420837), ('setelah', 0.7436483502388), ('sewaktu', 0.7010225653648376), ('sebelum', 0.692713737487793), ('apabila', 0.6908754110336304), ('bila', 0.6745287775993347), ('jika', 0.6726842522621155), ('dimana', 0.6483676433563232), ('pun', 0.6237393617630005), ('tatkala', 0.6201381683349609)]"
3,karena,"[('sebab', 0.7499040961265564), ('sehingga', 0.7448127269744873), ('dikarenakan', 0.7197169065475464), ('lantaran', 0.6680543422698975), ('karenanya', 0.6645912528038025), ('meskipun', 0.6620283722877502), ('jika', 0.6501315236091614), ('justru', 0.6320558190345764), ('namun', 0.6300827860832214), ('apabila', 0.6280331611633301)]"
3,samping,"[('selain', 0.6822804808616638), ('disamping', 0.6544132828712463), ('sampingnya', 0.5767021775245667), ('sementara', 0.5634675025939941), ('bawahnya', 0.5278676152229309), ('sebelahnya', 0.5271095037460327), ('dalamnya', 0.5032762289047241), ('semacam', 0.5009057521820068), ('atasnya', 0.4982474446296692), ('mana', 0.497820645570755)]"
3,tetapi,"[('namun', 0.8938544988632202), ('tapi', 0.8644949197769165), ('meskipun', 0.6979385614395142), ('sehingga', 0.6778839230537415), ('maka', 0.6752519011497498), ('melainkan', 0.6665272116661072), ('walaupun', 0.6587032675743103), ('bagaimanapun', 0.6099457740783691), ('mungkin', 0.5973723530769348), ('meski', 0.5953308343887329)]"
3,namun,"[('tetapi', 0.893854558467865), ('tapi', 0.8680642247200012), ('meskipun', 0.8266369104385376), ('walaupun', 0.7748280763626099), ('meski', 0.747814416885376), ('sehingga', 0.7163537740707397), ('walau', 0.6556862592697144), ('bahkan', 0.649656355381012), ('maka', 0.6363634467124939), ('karena', 0.6300827860832214)]"
3,meskipun,"[('walaupun', 0.9489130973815918), ('meski', 0.9204537272453308), ('walau', 0.8308085799217224), ('namun', 0.8266369700431824), ('kendati', 0.7267175316810608), ('tetapi', 0.6979385614395142), ('sekalipun', 0.6918760538101196), ('tapi', 0.6835008263587952), ('karena', 0.662028431892395), ('sehingga', 0.6265038251876831)]"
3,setelah,"[('sebelum', 0.8363344669342041), ('sesudah', 0.7459349632263184), ('ketika', 0.7436483502388), ('kemudian', 0.7306771874427795), ('setelahnya', 0.6603701710700989), ('selepas', 0.6358371376991272), ('akhirnya', 0.6135268807411194), ('setalah', 0.5846271514892578), ('selama', 0.5793578028678894), ('segera', 0.574845552444458)]"
3,ketika,"[('saat', 0.7700065970420837), ('setelah', 0.7436483502388), ('sewaktu', 0.7010225653648376), ('sebelum', 0.692713737487793), ('apabila', 0.6908754110336304), ('bila', 0.6745287775993347), ('jika', 0.6726842522621155), ('dimana', 0.6483676433563232), ('pun', 0.6237393617630005), ('tatkala', 0.6201381683349609)]"
3,sementara,"[('sedangkan', 0.6645538806915283), ('saat', 0.6398103833198547), ('selain', 0.6393873691558838), ('ketika', 0.5934101343154907), ('karena', 0.5716542601585388), ('samping', 0.5634675621986389), ('tetapi', 0.5390990376472473), ('namun', 0.5342879891395569), ('meskipun', 0.5301047563552856), ('setelah', 0.5277387499809265)]"
3,setelah,"[('sebelum', 0.8363344669342041), ('sesudah', 0.7459349632263184), ('ketika', 0.7436483502388), ('kemudian', 0.7306771874427795), ('setelahnya', 0.6603701710700989), ('selepas', 0.6358371376991272), ('akhirnya', 0.6135268807411194), ('setalah', 0.5846271514892578), ('selama', 0.5793578028678894), ('segera', 0.574845552444458)]"
3,kala,"[('selain', 0.6017579436302185), ('dikala', 0.5983145833015442), ('saat', 0.5658323764801025), ('disamping', 0.559356153011322), ('sementara', 0.5101005434989929), ('semacam', 0.49727463722229004), ('pulalah', 0.46851176023483276), ('sebabnya', 0.4628579318523407), ('samping', 0.4610133171081543), ('semenjak', 0.4599686861038208)]"
3,disaat,"[('saat', 0.5616036653518677), ('dikala', 0.5604406595230103), ('ditempat', 0.5176711082458496), ('untungnya', 0.5140558481216431), ('ketika', 0.513231635093689), ('tatkala', 0.5052228569984436), ('dipersalin', 0.4968333840370178), ('diwaktu', 0.49440765380859375), ('ceking', 0.4870409071445465), ('ternyata', 0.47511953115463257)]"
3,sewaktu,"[('ketika', 0.7010226845741272), ('selagi', 0.6076922416687012), ('tatkala', 0.5129284858703613), ('saat', 0.5065683126449585), ('semasa', 0.5025902390480042), ('sebelum', 0.48710066080093384), ('setelah', 0.4763239920139313), ('sendirian', 0.4694274067878723), ('bila', 0.4679544270038605), ('apabila', 0.4508397877216339)]"
3,dimana,"[('mana', 0.7140746116638184), ('ketika', 0.6483675837516785), ('apabila', 0.539408802986145), ('yang', 0.53597092628479), ('sehingga', 0.5336657762527466), ('jika', 0.5326011776924133), ('disana', 0.5173090696334839), ('maka', 0.5065860748291016), ('saat', 0.5042053461074829), ('bila', 0.4933649003505707)]"
3,akhirnya,"[('kemudian', 0.7100728750228882), ('segera', 0.6660470962524414), ('malah', 0.6347030401229858), ('kembali', 0.6199509501457214), ('terpaksa', 0.6180179715156555), ('pun', 0.6176331639289856), ('setelah', 0.6135268807411194), ('sempat', 0.5888575315475464), ('ketika', 0.5697516202926636), ('telah', 0.5685572028160095)]"
3,karena,"[('sebab', 0.7499040961265564), ('sehingga', 0.7448127269744873), ('dikarenakan', 0.7197169065475464), ('lantaran', 0.6680543422698975), ('karenanya', 0.6645912528038025), ('meskipun', 0.6620283722877502), ('jika', 0.6501315236091614), ('justru', 0.6320558190345764), ('namun', 0.6300827860832214), ('apabila', 0.6280331611633301)]"
3,waktu,"[('waktunya', 0.6795573234558105), ('jam', 0.5151779055595398), ('sementara', 0.48946142196655273), ('saat', 0.48490312695503235), ('hari', 0.48395559191703796), ('tempoh', 0.4767948389053345), ('hitungan', 0.47354477643966675), ('detik', 0.4680251479148865), ('menit', 0.45570996403694153), ('selang', 0.45209458470344543)]"
3,harinya,"[('paginya', 0.802356481552124), ('hari', 0.686499297618866), ('malamnya', 0.6747093200683594), ('minggunya', 0.5395604372024536), ('tahunnya', 0.5385963916778564), ('siangnya', 0.5195714831352234), ('pukul', 0.5098385214805603), ('pagi', 0.507591724395752), ('bulannya', 0.49998345971107483), ('bacai', 0.4903606176376343)]"
3,minggu,"[('hari', 0.6785522699356079), ('bulan', 0.6348052620887756), ('jam', 0.6154540181159973), ('pekan', 0.5994728207588196), ('menit', 0.5794610381126404), ('sebulan', 0.5678807497024536), ('sepekan', 0.5613594055175781), ('seminggu', 0.5481929779052734), ('malam', 0.5339877009391785), ('setahun', 0.5315684080123901)]"
3,malam,"[('sore', 0.7217128872871399), ('siang', 0.7187246084213257), ('pagi', 0.7090616822242737), ('malamnya', 0.6243771910667419), ('petang', 0.6150825619697571), ('hari', 0.614632248878479), ('jumat', 0.5678977370262146), ('dimalam', 0.5494282245635986), ('minggu', 0.5339877009391785), ('sabtu', 0.5296514630317688)]"
