token,entity
Polisi mengamankan,12746547925278853692
Bantul, DIY,441812806324301794
Kapolres Bantul AKBP Ihsan,441812806324301794
Pedukuhan Bolon RT 4, Kalurahan Palbapang, Kapanewon Bantul, Kabupaten Bantul, melihat,441812806324301794
Minggu,9909341814966928572
(10/4),12610121210714195887
