,tingkat setelah parent,parent,similarity
0,1,budi,"[('budhi', 0.6205414533615112), ('darma', 0.6084010601043701), ('heru', 0.5488176941871643), ('asih', 0.5459403991699219), ('raharjo', 0.5449875593185425), ('pekerti', 0.5448434352874756), ('heri', 0.5431290864944458), ('utomo', 0.5398364067077637), ('sarwono', 0.5364453196525574), ('nugroho', 0.5285580158233643)]"
1,2,budhi,"[('santosa', 0.8030893802642822), ('dedy', 0.7978243231773376), ('permana', 0.7865484356880188), ('kurnia', 0.7810990810394287), ('cahyono', 0.7769461870193481), ('atmaja', 0.7734637260437012), ('setyo', 0.7687528729438782), ('prasetyo', 0.7647681832313538), ('raharjo', 0.7605352401733398), ('hery', 0.7589486837387085)]"
2,2,darma,"[('brata', 0.7571079730987549), ('budhi', 0.7387105226516724), ('panca', 0.7196041345596313), ('widya', 0.716288149356842), ('karsa', 0.7157838940620422), ('mulya', 0.7070000171661377), ('dharma', 0.705683708190918), ('bhakti', 0.6995442509651184), ('bhuana', 0.6886026263237), ('husada', 0.6866244077682495)]"
3,2,heru,"[('sugeng', 0.8360087275505066), ('setyo', 0.8238560557365417), ('purnomo', 0.816060483455658), ('wahyudi', 0.8075599074363708), ('cahyono', 0.8062238693237305), ('herry', 0.8062164783477783), ('nurhadi', 0.8051130175590515), ('edy', 0.803727388381958), ('heri', 0.7997632026672363), ('hendro', 0.7978957295417786)]"
4,2,asih,"[('welas', 0.8096296787261963), ('mulya', 0.7512748837471008), ('handayani', 0.7039275169372559), ('rahayu', 0.7021653056144714), ('budhi', 0.6945697665214539), ('mulyo', 0.6906751394271851), ('kumala', 0.6859394907951355), ('arga', 0.6844133734703064), ('sukma', 0.6828402876853943), ('pohaci', 0.6790918707847595)]"
5,2,raharjo,"[('prasetyo', 0.8490724563598633), ('siswanto', 0.8312613368034363), ('cahyono', 0.8226813673973083), ('sapto', 0.8194600343704224), ('setyo', 0.8168728947639465), ('wicaksono', 0.8117445707321167), ('setyawan', 0.8114442825317383), ('wahyudi', 0.8105626702308655), ('putro', 0.8097380995750427), ('kurnia', 0.8092595338821411)]"
6,2,pekerti,"[('keluhuran', 0.7495842576026917), ('pekertinya', 0.7244451642036438), ('luhur', 0.7099592685699463), ('akhlak', 0.6727631688117981), ('berbudi', 0.6707586646080017), ('schwarzkrone', 0.6572684049606323), ('bidhun', 0.6524450778961182), ('anduk', 0.6250016093254089), ('kejujuran', 0.6147395968437195), ('karimah', 0.6039799451828003)]"
7,2,heri,"[('hermawan', 0.8815047144889832), ('wahyudi', 0.8787182569503784), ('herry', 0.8633777499198914), ('setyo', 0.8580225110054016), ('sugeng', 0.854465126991272), ('haryadi', 0.8544310927391052), ('prasetyo', 0.8499659895896912), ('cahyo', 0.8451176285743713), ('cahyono', 0.8414754271507263), ('darmawan', 0.8394933342933655)]"
8,2,utomo,"[('sudarsono', 0.8057956099510193), ('oetomo', 0.7539907097816467), ('priyo', 0.7370962500572205), ('setyo', 0.7364736795425415), ('harsono', 0.7331340909004211), ('cahyono', 0.7268533110618591), ('prasetyo', 0.7216514945030212), ('triyono', 0.7215725779533386), ('putro', 0.7184200286865234), ('purwanto', 0.7153834104537964)]"
9,2,sarwono,"[('kusumaatmadja', 0.8446452021598816), ('mulyana', 0.838137686252594), ('sumarsono', 0.8258721232414246), ('setiadi', 0.8233659267425537), ('hery', 0.8197121024131775), ('setyo', 0.8186826705932617), ('priyo', 0.8171209692955017), ('pramono', 0.8139013648033142), ('santosa', 0.8086336255073547), ('wibisono', 0.8080849647521973)]"
10,2,nugroho,"[('sasongko', 0.801034152507782), ('prasetyo', 0.7973636984825134), ('setyo', 0.7962407469749451), ('budiono', 0.7921239733695984), ('herry', 0.7887430191040039), ('sarwono', 0.7878064513206482), ('eko', 0.7850716710090637), ('setiadi', 0.7835865020751953), ('yudi', 0.7799832224845886), ('purnomo', 0.7780693173408508)]"
11,3,santosa,"[('permana', 0.8566052317619324), ('darmawan', 0.8520352840423584), ('cahyono', 0.8494649529457092), ('prasetyo', 0.8436547517776489), ('budiono', 0.8434889316558838), ('setyawan', 0.8391789793968201), ('dedy', 0.8378195762634277), ('hery', 0.8348215222358704), ('sapto', 0.8311839699745178), ('sugeng', 0.8256270289421082)]"
12,3,dedy,"[('setyo', 0.8459741473197937), ('wahyudi', 0.8414740562438965), ('dedi', 0.8390488028526306), ('santosa', 0.8378196954727173), ('sugeng', 0.8377072811126709), ('handoyo', 0.8324931859970093), ('herry', 0.8320316672325134), ('hermawan', 0.8315308690071106), ('suryana', 0.8263131380081177), ('hendri', 0.8259531259536743)]"
13,3,permana,"[('wicaksono', 0.8698651194572449), ('kurnia', 0.8655573129653931), ('setyawan', 0.8568452000617981), ('santosa', 0.8566052913665771), ('prasetyo', 0.8545992970466614), ('darmawan', 0.8467380404472351), ('wirawan', 0.8421619534492493), ('yudi', 0.8420857191085815), ('setiawan', 0.8402206301689148), ('hermawan', 0.8365060091018677)]"
14,3,kurnia,"[('permana', 0.8655573725700378), ('yudi', 0.8406909704208374), ('setyawan', 0.8302401304244995), ('setiawan', 0.8280857801437378), ('wicaksono', 0.8266758322715759), ('cahya', 0.8252639770507812), ('prasetyo', 0.8250026702880859), ('hermawan', 0.8240584135055542), ('darmawan', 0.8234929442405701), ('dedy', 0.8195887804031372)]"
15,3,cahyono,"[('setyawan', 0.8623384237289429), ('setyo', 0.8587314486503601), ('prasetyo', 0.8566870093345642), ('santosa', 0.8494648933410645), ('wahyudi', 0.8485472202301025), ('putro', 0.8430573344230652), ('cahyo', 0.8415314555168152), ('heri', 0.8414754271507263), ('hermawan', 0.8394438624382019), ('wicaksono', 0.837449848651886)]"
16,3,atmaja,"[('asmoro', 0.8311437368392944), ('permana', 0.8304954171180725), ('wirya', 0.8288247585296631), ('haryo', 0.8206028938293457), ('atmadja', 0.8178971409797668), ('kusumah', 0.8161076307296753), ('ragil', 0.8111711740493774), ('wardana', 0.8108012080192566), ('legowo', 0.8106569051742554), ('subrata', 0.8105202317237854)]"
17,3,setyo,"[('wahyudi', 0.8911815285682678), ('prasetyo', 0.8781864047050476), ('herry', 0.876908004283905), ('purwanto', 0.8759926557540894), ('sigit', 0.8697059750556946), ('hery', 0.8693933486938477), ('haryadi', 0.8680665493011475), ('darmawan', 0.8676495552062988), ('purnomo', 0.8631929159164429), ('sapto', 0.8612668514251709)]"
18,3,prasetyo,"[('wicaksono', 0.8969976902008057), ('setyawan', 0.8874848484992981), ('wahyudi', 0.8796584606170654), ('setyo', 0.8781862258911133), ('hermawan', 0.8737552762031555), ('sapto', 0.870456874370575), ('cahyono', 0.8566869497299194), ('yudi', 0.8556060791015625), ('darmawan', 0.855137050151825), ('permana', 0.8545991778373718)]"
20,3,hery,"[('setyo', 0.8693932890892029), ('setiadi', 0.8690662980079651), ('priyo', 0.8537819981575012), ('mulyana', 0.8493655323982239), ('budiono', 0.8452804684638977), ('mochamad', 0.8402957320213318), ('wahyudi', 0.83952397108078), ('hartoyo', 0.8372823596000671), ('setyawan', 0.8355020880699158), ('santosa', 0.8348215818405151)]"
21,3,brata,"[('darma', 0.7571080923080444), ('anyung', 0.728603720664978), ('yuda', 0.7270752191543579), ('suparto', 0.7038517594337463), ('atmaja', 0.7018762826919556), ('kusumo', 0.6998534798622131), ('mangun', 0.6916863918304443), ('haryo', 0.6878435611724854), ('budhi', 0.6849339008331299), ('permana', 0.6772492527961731)]"
23,3,panca,"[('darma', 0.7196040153503418), ('sapta', 0.6993054747581482), ('budhi', 0.6828725337982178), ('karsa', 0.6773715615272522), ('manunggal', 0.6697891354560852), ('bhuana', 0.6611083745956421), ('indera', 0.6542092561721802), ('mulya', 0.6504377126693726), ('persada', 0.6418235301971436), ('bhakti', 0.6395068168640137)]"
24,3,widya,"[('wiyata', 0.7709542512893677), ('handayani', 0.7478862404823303), ('husada', 0.7456009387969971), ('artha', 0.7273073196411133), ('darma', 0.7162880301475525), ('mulya', 0.7078787684440613), ('kartika', 0.705794095993042), ('budhi', 0.7042925357818604), ('nugraha', 0.7022788524627686), ('eka', 0.6969044208526611)]"
25,3,karsa,"[('darma', 0.7157840132713318), ('panca', 0.6773716807365417), ('mulya', 0.6580556631088257), ('manunggal', 0.6491652727127075), ('tresna', 0.6463556289672852), ('wira', 0.6370493173599243), ('yuda', 0.6294553279876709), ('wuri', 0.6279666423797607), ('asih', 0.6258313655853271), ('husada', 0.6254570484161377)]"
26,3,mulya,"[('husada', 0.753542959690094), ('asih', 0.751274824142456), ('mulyo', 0.7451353669166565), ('arga', 0.7444764971733093), ('budhi', 0.7409045696258545), ('mukti', 0.7402681708335876), ('persada', 0.7319899201393127), ('artha', 0.7200051546096802), ('kerta', 0.7133626937866211), ('handayani', 0.7128671407699585)]"
27,3,dharma,"[('bhakti', 0.718291699886322), ('darma', 0.7056836485862732), ('sradha', 0.6609119772911072), ('dhamma', 0.6514652371406555), ('sanata', 0.6478961110115051), ('widya', 0.6241487264633179), ('oratmangun', 0.6222953796386719), ('prajna', 0.6199385523796082), ('wiratama', 0.6190758943557739), ('bhuana', 0.6176177859306335)]"
28,3,bhakti,"[('dharma', 0.718291699886322), ('bakti', 0.717420756816864), ('darma', 0.6995441913604736), ('husada', 0.6957853436470032), ('manggala', 0.690774142742157), ('satya', 0.6885715126991272), ('krida', 0.6830460429191589), ('wiyata', 0.6713919639587402), ('bina', 0.657067596912384), ('widya', 0.6442930698394775)]"
29,3,bhuana,"[('kerta', 0.7133904695510864), ('braja', 0.6987044811248779), ('bhaladika', 0.6982231736183167), ('darma', 0.6886026859283447), ('wisesa', 0.6872177124023438), ('mulya', 0.6769086718559265), ('akasa', 0.674088716506958), ('arga', 0.6685365438461304), ('yudha', 0.6677104830741882), ('panca', 0.6611083149909973)]"
30,3,husada,"[('stikes', 0.7832592725753784), ('akbid', 0.7793196439743042), ('mulya', 0.753542959690094), ('widya', 0.7456008791923523), ('rsia', 0.7392134070396423), ('medika', 0.7353520393371582), ('krida', 0.725824773311615), ('artha', 0.7232202291488647), ('akper', 0.7200106978416443), ('persada', 0.7123444676399231)]"
31,3,sugeng,"[('heri', 0.854465126991272), ('wahyudi', 0.8516450524330139), ('setyo', 0.8490751385688782), ('dedy', 0.8377072215080261), ('heru', 0.8360087871551514), ('edy', 0.8298821449279785), ('herry', 0.829495370388031), ('dedi', 0.8271963000297546), ('nurhadi', 0.826898992061615), ('supardi', 0.8262073993682861)]"
33,3,purnomo,"[('setyo', 0.8631928563117981), ('prasetyo', 0.844999372959137), ('wahyudi', 0.8442507982254028), ('edy', 0.8438172936439514), ('setyawan', 0.84377521276474), ('pramono', 0.8374454379081726), ('cahyono', 0.8363766670227051), ('purwanto', 0.8347030878067017), ('herry', 0.8318179845809937), ('dedi', 0.8293386697769165)]"
34,3,wahyudi,"[('setyawan', 0.8926405310630798), ('setyo', 0.8911815881729126), ('prasetyo', 0.8796584606170654), ('heri', 0.8787182569503784), ('haryadi', 0.8765890002250671), ('hermawan', 0.8632521629333496), ('mochammad', 0.8593723177909851), ('wicaksono', 0.8590142130851746), ('edy', 0.8523707389831543), ('sugeng', 0.8516449928283691)]"
36,3,herry,"[('setyo', 0.876908004283905), ('heri', 0.8633776903152466), ('haryadi', 0.8538765907287598), ('edy', 0.8532875180244446), ('wahyudi', 0.8501825928688049), ('dedi', 0.8429399132728577), ('mochamad', 0.8390613198280334), ('hermawan', 0.8387561440467834), ('pramono', 0.8385958671569824), ('dedy', 0.8320317268371582)]"
37,3,nurhadi,"[('wahyudi', 0.8375427722930908), ('sunarya', 0.8318437337875366), ('sugeng', 0.8268991112709045), ('suwarno', 0.8266724944114685), ('setyo', 0.8229992389678955), ('suryana', 0.8211371898651123), ('santosa', 0.818008303642273), ('setyawan', 0.8146582245826721), ('sutisna', 0.8134200572967529), ('singgih', 0.8119447827339172)]"
38,3,edy,"[('mochamad', 0.8664616942405701), ('dedi', 0.862095832824707), ('herry', 0.8532876968383789), ('wahyudi', 0.8523708581924438), ('supardi', 0.8492568135261536), ('prayitno', 0.8459057807922363), ('pramono', 0.8453537225723267), ('setyo', 0.8449437618255615), ('purnomo', 0.8438173532485962), ('irianto', 0.842701256275177)]"
40,3,hendro,"[('setyo', 0.8335666060447693), ('sugeng', 0.826005220413208), ('kartiko', 0.8256627321243286), ('herry', 0.8234659433364868), ('wahyudi', 0.8229808211326599), ('heri', 0.8217687606811523), ('wicaksono', 0.8131214380264282), ('sigit', 0.8111913204193115), ('nurhadi', 0.8107660412788391), ('prasetyo', 0.8102003335952759)]"
