title,date,description
"Kecelakaan Innova di Km 6 Tol Tangerang, Sopir dan Penumpang Terluka

","Sabtu, 19 Feb 2022 09:25 WIB

","Kecelakaan Innova di Km 6 Tol Tangerang, Sopir dan Penumpang Terluka

Mobil Toyota Innova bernopol B-2426-POH mengalami

 Peristiwa itu terjadi pada Sabtu (19/2/2022) pukul 04.45 WIB. Mobil tersebut
disopiri oleh Hartono Dwiatmoko (32) dan penumpangnya, Fery Teja (35).

 ""Korban Hartono Dwiatmoko luka lecet di tangan dan Fery Teja luka lebam di
bagian pipi,"" kata Kainduk Turangga 02 Korlantas Polri AKP Suwito saat
dihubungi, Sabtu (19/2/2022).

 Kecelakaan itu bermula saat kendaraan yang dikemudikan Hartono melintas dari
arah Pondok Indah. Namun, saat memasuki Km 6, diduga pengemudi kurang hati-
hati.

 Mobil Innova yang dikemudikan Hartono kemudian

 ""Setiba di TKP, menurut keterangan pengemudi, karena kurang antisipasi,
sehingga menabrak mobil di depan yang nihil identitas,"" jelas Suwito.

 Beruntung tidak ada korban jiwa dari peristiwa tersebut. Dua

 Suwito mengatakan sisa-sisa kecelakaan pun kini telah steril dari lokasi
kejadian. Lalu lintas di lokasi telah normal.

 ""Lancar, bisa dilalui dengan aman,"" pungkas Suwito.

 "
"Pemotor di Cilincing Jakut Tewas Terlindas Truk Kontainer

","Sabtu, 19 Feb 2022 12:57 WIB

","Pemotor di Cilincing Jakut Tewas Terlindas Truk Kontainer

Pria berinisial SS meninggal dunia dalam

 Kanit Laka Lantas Polres Metro Jakarta Utara AKP Edy Wibowo mengatakan
peristiwa itu terjadi pada Jumat (18/2), pukul 17.00 WIB di dekat

 ""Jam 17.00 WIB, kecelakaan antara sepeda motor Yamaha Vino B-3727-FNM dengan
KR trailer B-9991-UIV. Pengendara motor (SS) meninggal dunia,"" ucap Edy saat
dimintai konfirmasi, Sabtu (19/2/2022).

 Edy menjelaskan awalnya sepeda motor yang dikendarai SS melaju dari arah barat
ke timur. Namun, saat dia hendak menyalip dan melajukan kendaraannya, dia
terpeleset di dekat

 ""Terpeleset dan pengendaranya terjatuh ke kanan, sehingga terlindas ban roda
belakang sebelah kiri kendaraan trailer yang melaju searah di samping
kanannya,"" jelas Edy.

 Akibat kecelakaan tersebut, SS meninggal di lokasi kejadian. Pengemudi
kontainer pun masih diperiksa dan dimintai keterangan oleh pihak kepolisian.

 ""Ya, dari kecelakaan lalu lintas tersebut pengendara mengalami luka dan
meninggal dunia di TKP. Kasus masih ditangani Laka Lantas,"" tutur Edy.

 Edy belum bisa memastikan apakah pengemudi trailer dalam keadaan mengantuk
atau sadar. Saat ini, kata dia, kepolisian masih melakukan penyidikan terhadap
kasus tersebut.

 "
"Mobil Tabrak Motor di Depan Terminal Pulogadung Jaktim, Pemotor Kritis

","Sabtu, 19 Feb 2022 14:01 WIB

","Mobil Tabrak Motor di Depan Terminal Pulogadung Jaktim, Pemotor Kritis

Sebuah mobil

 Kanit Laka Lantas Polres Metro Jakarta Timur Iptu Seno mengatakan peristiwa
terjadi pada Sabtu (19/2) sekitar pukul 00.30 WIB. Saat itu, mobil melaju dari
barat dengan tujuan belok kanan ke arah Terminal Pulogadung. Pada waktu yang
bersamaan, dari arah timur melaju lurus tiga kendaraan roda dua menuju arah
barat.

 ""Ada mobil Sigra dari arah barat mau belok kanan ke Terminal Pulogadung.
Bersamaan itu, dari arah timur ada tiga kendaraan roda dua, mau jalan lurus ke
barat,"" kata Seno saat dihubungi, Sabtu (19/2/2022).

 Seno menuturkan dua kendaraan roda dua yang berada di depan sempat mengerem
dan belok kanan menuju arah barat. Namun, karena jarak terlalu dekat, pemotor
lain di belakangnya yang diketahui berboncengan banting setir ke arah kiri
hingga motor yang berada di posisi belakang tertabrak mobil.

 ""Dia mau belok kanan khawatir menabrak roda dua yang di depan, makanya roda
dua yang di belakang banting kiri. Tetapi, malah bertabrakan dengan mobil
Sigra yang dari barat arah kiri,"" jelasnya.

 Seno menjelaskan, sebelum terjadi kecelakaan, korban melaju dengan kecepatan
tinggi. Akibat kecelakaan itu, pemotor mengalami luka serius dan dilarikan ke
rumah sakit.

 ""Pengendara roda dua, kaki kanan patah, kepala keluar darah dari telinga.
Untuk yang dibonceng hanya lecet. Saat ini dirawat di RSCM, pengendara kritis.
Pengemudi mobil tidak mengalami luka,"" ujarnya.

 Lebih lanjut Seno mengatakan di daerah tersebut memang rawan kecelakaan karena
tidak adanya rambu pengatur lalu lintas. Dia mengatakan pihaknya akan
mengusulkan pemasangan rambu lalu lintas agar insiden serupa tidak terjadi
lagi.

 ""Memang, standarnya di pertigaan itu harus ada

 ""Saya akan usul ke Ditkamsel agar mengusulkan ke Dishub untuk pasang lampu
pengatur, karena seringnya terjadi senggolan antarkendaraan,"" imbuhnya.

 "
"Kecelakaan Mobil Vs Motor di Terminal Pulogadung, Polisi Soroti soal Rambu

","Sabtu, 19 Feb 2022 15:58 WIB

","Kecelakaan Mobil Vs Motor di Terminal Pulogadung, Polisi Soroti soal Rambu

mobil dengan motor di Terminal Pulogadung, Jakarta Timur, mengakibatkan
pengendara motor kritis. Polisi menyoroti tidak adanya rambu-rambu lalu lintas
(

 ""Memang, standarnya di pertigaan itu harus ada

 Seno mengatakan lokasi itu sering terjadi kecelakaan. Hal itu disebabkan tidak
adanya rambu lalu lintas.

 ""Karena pengguna jalan di situ sering kagok. Sering terjadi senggolan, karena
pada kurang jaga jarak,"" katanya.

 Dia pun mengatakan berencana mengusulkan agar Dishub DKI memasang rambu di
sana. Tujuannya, agar kecelakaan seperti ini tidak terjadi lagi.

 ""Saya akan usul ke Ditkamsel agar mengusulkan ke Dishub untuk pasang lampu
pengatur, karena seringnya terjadi senggolan antar kendaraan,"" ucap Seno.

 Sebelumnya, sebuah mobil menabrak pengendara motor di Terminal Pulogadung,
Jakarta Timur. Akibatnya, pengendara motor mengalami luka-luka.

 Kanit Laka Lantas Polres Metro Jakarta Timur Iptu Seno mengatakan peristiwa
terjadi pada Sabtu (19/2) sekitar pukul 00.30 WIB. Saat itu, mobil melaju dari
barat dengan tujuan belok kanan ke arah Terminal Pulogadung. Pada waktu yang
bersamaan, dari arah timur melaju lurus tiga kendaraan roda dua menuju arah
barat.

 ""Ada mobil Sigra dari arah barat mau belok kanan ke Terminal Pulogadung.
Bersamaan itu, dari arah timur ada tiga kendaraan roda dua, mau jalan lurus ke
barat,"" kata Seno saat dihubungi, Sabtu (19/2).

 Seno menuturkan dua kendaraan roda dua yang berada di depan sempat mengerem
dan belok kanan menuju arah barat. Namun, karena jarak terlalu dekat, pemotor
lain di belakangnya yang diketahui berboncengan banting setir ke arah kiri
hingga motor yang berada di posisi belakang tertabrak mobil.

 Korban saat ini dilarikan ke RSCM. Korban kritis dan mengalami luka serius,
yakni kedua kakinya patah dan orang yang dibonceng mengalami luka lecet.

 "
"Motor Kurir Tabrak Truk di Kemang, Puluhan Botol Miras Pecah

","Sabtu, 19 Feb 2022 19:20 WIB

","Motor Kurir Tabrak Truk di Kemang, Puluhan Botol Miras Pecah

bermotor kecelakaan setelah menabrak truk di Kemang, Jakarta Selatan. Puluhan

 ""Iya bawa (pemotor bawa miras),"" kata Kanit Laka Lantas Polres Metro Jakarta
Selatan AKP Sigit saat dihubungi, Sabtu (19/2/2022).

 Sigit mengatakan peristiwa itu terjadi pada Jumat (18/2) sekitar pukul 16.20
WIB. Pemotor inisial FRA (27) diketahui bekerja sebagai kurir.

 ""Pemotor hanya kerja antar barang,"" jelas Sigit.

 Kecelakaan itu bermula saat truk yang dikemudikan oleh HA (44) melaju dari
arah selatan ke utara di

 Secara bersamaan melintas sepeda motor yang dikemudikan oleh FRA. Karena
kurang hati-hati, kurir tersebut menabrak bagian belakang truk.

 Sigit mengatakan tidak ada korban jiwa dari peristiwa tersebut. Pemotor FRA

 Selain itu, terkait puluhan botol miras pemotor yang pecah, Sigit menyebut
kasus itu diselesaikan secara kekeluargaan.

 ""Para pihak nggak saling

 "
"Mobil yang Terbalik di Suramadu Akibat Kaki Roda Patah

","Kamis, 17 Feb 2022 18:59 WIB

","Mobil yang Terbalik di Suramadu Akibat Kaki Roda Patah

Kasat Lantas Polres Pelabuhan Tanjung Perak AKP Eko Adi Wibowo mengatakan
Avanza ditumpangi tiga orang saat terjadi kecelakaan. Kecelakaan sendiri
terjadi sekitar pukul 16.20 WIB.

 Eko menjelaskan MPV tersebut melaju dari arah Utara ke Selatan atau dari
Madura menuju Surabaya di Jembatan Suramadu.

 ""Sesampai di lokasi kejadian roda depan sebelah kiri patah sehingga membuat
mobil terguling dan terbalik,"" ungkap Eko.

 Akibat kejadian tersebut, tiga orang yang terdiri dari sopir dan dua penumpang
mengalami luka dan dilarikan ke rumah sakit RSU dr Soetomo.

 ""Akibat kecelakaan tersebut mengakibatkan ketiga korban mengalami luka-luka
dan di bawah ke

 Sedangkan untuk menghindari kemacetan saat evakuasi petugas Satlantas Polres
Pelabuhan Perak berada di lokasi mengatur arus lalu lintas.

 "
"Pemobil Maut di Sudirman Diviralkan Mabuk, Begini Hasil Tes Urine

","Jumat, 18 Feb 2022 11:34 WIB

","Pemobil Maut di Sudirman Diviralkan Mabuk, Begini Hasil Tes Urine

Polisi telah melakukan

 ""Hasil tes urine sudah keluar. Jadi hasilnya negatif (narkoba) ya,"" kata
Dirlantas Polda Metro Jaya Kombes Sambodo Purnomo Yogo kepada wartawan, Jumat
(18/2/2022).

 Hasil tes urine itu keluar setelah 2x24 jam setelah pengambilan sampel. Hasil
tes juga meliputi tes alkohol, di mana hasilnya dinyatakan negatif.

 ""Ada hasil labnya, negatif,"" imbuh Sambodo.

 Tetapi, polisi saat ini masih menunggu hasil tes darah untuk mengetahui lebih
lanjut apakah si pengemudi pernah mengonsumsi narkoba.

 ""Kita masih tunggu hasil darah. Untuk tersangka sudah naik jadi tersangka,""
katanya.

 BT kini telah ditetapkan sebagai tersangka. Dia dijerat dengan Pasal 310 ayat
4 UU Lalu Lintas dan Angkutan Jalan. Polisi pun telah menahan BT.

 Sebelumnya, beredar video viral memperlihatkan kondisi BT sesaat setelah
menabrak motor di Sudirman. BT diviralkan dalam kondisi mabuk.

 Untuk diketahui, polisi telah menetapkan pria pengemudi mobil Honda HR-V
inisial BT (20)

 ""Iya kita tahan,"" kata Kasubdit Gakkum Ditlantas Polda Metro Jaya Kompol
Argadija Putra saat dihubungi, Kamis (17/2).

 BT saat ini ditahan di Subdit Gakkum Ditlantas Polda Metro Jaya. Dia dijerat
dengan Pasal 310 ayat 4 UU Lalu Lintas dan Angkutan Jalan tahun 2009.

 Pasal itu mengatur soal kelalaian dalam berkendara hingga menyebabkan orang
lain meninggal dunia. BT terancam hukuman penjara enam tahun.

 "
"Polisi Ungkap Kondisi Pemotor ABG Nyasar hingga Ditabrak Mobil di Tol Japek

","Jumat, 18 Feb 2022 14:02 WIB

","Polisi Ungkap Kondisi Pemotor ABG Nyasar hingga Ditabrak Mobil di Tol Japek

Seorang pengendara motor remaja perempuan berinisial KS (16) sempat masuk ke
ruas

 ""Waktu jatuh itu dagu membentur aspal jadi sempat tidak sadar sementara karena
benturan dagu sama aspal itu,"" kata Kanit Laka Lantas Polres Metro Jakarta
Timur Iptu Seno Wibowo saat dihubungi, Jumat (18/2/2022).

 KS lalu dibawa ke rumah sakit terdekat. Beruntung, tidak ada luka parah yang
dideritanya.

 ""Itu terakhir setelah diobservasi lukanya lecet di tangan sama dagu sobek,""
ungkap Seno.

 Kondisi KS pun berangsur membaik. Seno menyebut remaja perempuan itu telah
pulang dari rumah sakit dan menjalani perawatan di rumah sejak Kamis (17/2)
sore.

 Meski begitu, polisi tetap memberikan penindakan atas aksi KS yang mengendarai
sepeda motornya masuk ke ruas Tol Japek. Dia dikenai sanksi tilang.

 Selain itu, polisi masih menyelidiki kasus tabrakan yang dilakukan pemobil AS
kepada KS. Pemobil AS hari ini dimintai keterangan oleh polisi.

 Namun, Seno mengatakan secara aturan pemobil AS tidak bisa dijerat pelanggaran
lalu lintas. Pasalnya, posisi KS sebagai korban telah melakukan pelanggaran
lalu lintas terlebih dahulu hingga menyebabkan kecelakaan itu terjadi.

 ""Jadi untuk pengendara mobil tidak bisa dikenakan sanksi karena yang melanggar
dalam posisi lemah si pengendara sepeda motor,"" terang Seno.

 Dia menyebut posisi mobil yang dikemudikan oleh AS telah berada di jalur yang
tepat. Di sisi lain, sejumlah pelanggaran pun telah dilakukan oleh pemotor KS
atas aksinya yang melintas di ruas jalan Tol Japek.

 ""Sopirnya itu memang sudah di jalur yang benar di jalur tol. Kalau dilihat
pelanggarannya banyak kesalahan (pemotor). SIM belum punya, dia masuk tol,""
terang Seno.

 Aksi KS yang melintas dan melawan arah hingga tertabrak mobil di ruas Tol
Japek terjadi pada Kamis (17/2) pagi. Polisi mengungkap KS masuk ke ruas tol
tersebut melalui pintu Tol Halim.

 Kepada polisi, KS mengaku tidak tahu jalan. Sehari-hari remaja itu pun diantar
ayahnya untuk bepergian.

 ""Kan

 "
"Mobil Tabrak 4 Motor di Bali, 1 Korban Alami Patah Tulang

","Kamis, 17 Feb 2022 19:53 WIB

","Mobil Tabrak 4 Motor di Bali, 1 Korban Alami Patah Tulang

Seorang wisatawan asal Afrika bernama Chidi Ezonu (30) mengalami

 ""Waktu kejadian Rabu (16/2/2022) sekira pukul 03.00 Wita. TKP di Simpang Jalan
Kunti, Kuta, Badung,"" kata Kasi Humas Polresta Denpasar Iptu I Ketut Sukadi
dalam keterangannya kepada

 Sukadi menuturkan, awalnya warga negara (WN) Afrika tersebut mengendarai mobil
Lexus D-1199-LK di simpang Jalan Kunti, Kecamatan Kuta, Kabupaten Badung. Ia
bergerak dari timur menuju barat.

 Saat memasuki jalan tikungan, WN Afrika tersebut mengambil haluan terlalu ke
kanan sehingga terlibat kecelakaan dengan empat sepeda motor sekaligus yang
bergerak dari arah berlawanan.

 Adapun sepeda motor yang ditabrak WN Afrika tersebut ialah Yamaha NMax
bernomor polisi DK-5548-ACN, Yamaha NMax P-3622-UJ, Yamaha NMax DK-3203-ARG
dan Honda Beat DK-3633-ACC.

 Sepeda motor Yamaha NMax bernomor polisi DK-5548-ACN dikendarai oleh pelajar
berinisial IPR (16). Akibat kecelakaan itu, IPR mengalami patah tulang pada
kaki kanan.

 ""Imel Putri Ridwan mengalami patah tulang kaki kanan, rasa sakit pada perut
dirawat di RS Siloam,"" terang Sukadi.

 Kemudian Yamaha NMax bernomor polisi P-3622-UJ dikendarai oleh pelajar AS
(14). AS sendiri mengalami luka pada mulut, mata bengkak dan tangan kanan
lecet di rawat. Ia kini juga menjalani perawatan di RS.

 Selanjutnya, sepeda motor Yamaha NMax DK-3203-ARG dikendarai oleh pelajar Y
(16). Polisi tak mencatat adanya luka-luka terhadap pelajar yang beralamat di
Kota Denpasar tersebut.

 Sementara sepeda motor Honda Beat bernomor polisi DK-3633-ARG dikendarai
pelajar DK (17). Akibat kecelakaan itu, remaja kelahiran Banyuwangi pada 2004
itu mengalami luka lecet pada kaki kanan.

 Saat terjadi kecelakaan, DK tak sendiri. Ia membonceng pelajar lain berinisial
MDM (17). Polisi juga tak mencatat adanya luka-luka terhadap MDM.

 Akibat peristiwa tersebut, Sukadi memperkirakan ada kerugian material sebesar
Rp 20 juta.

 "
"Ada Truk Terguling, Lalin di Jalan MT Haryono Arah Halim Macet

","Jumat, 18 Feb 2022 06:55 WIB

","Ada Truk Terguling, Lalin di Jalan MT Haryono Arah Halim Macet

Sebuah truk muatan hebel atau bata ringan terguling di

 ""Untuk posisinya terguling, menabrak trotoar,"" ujar Petugas

 Petugas masih melakukan penanganan. Belum ada informasi soal penyebab truk
menabrak trotoar.

 ""Untuk kecelakaan truk muatan hebel memang sedang dalam penanganan petugas,""
jelasnya.

 Kecelakaan ini memicu kemacetan menjelang lokasi. Belum ada informasi soal ada
tidaknya korban akibat kecelakaan tersebut.

 ""Saat ini informasinya cukup tersendat, tapi hanya beberapa meter saja.
Kepadatan hanya di sekitar,"" katanya.

 ""Untuk korban jiwa belum diketahui,"" lanjutnya.

 "
"Ada Kecelakaan Truk Boks di Tol Japek KM 32 Arah Jakarta, Lalin Normal

","Jumat, 18 Feb 2022 08:26 WIB

","Ada Kecelakaan Truk Boks di Tol Japek KM 32 Arah Jakarta, Lalin Normal

lalu lintas terjadi di Tol Jakarta-Cikampek (Japek) KM 32, Cikarang Barat.
Kecelakaan ini melibatkan kendaraan truk wing boks.

 ""Iya betul, untuk informasinya di sekitaran Cikarang Barat di KM 32 posisi
benar di bahu luar,"" ujar petugas call center Jasa Marga, Lala, saat
dihubungi, Jumat (18/2/2022) pukul 08.12 WIB.

 Kecelakaan itu terjadi di KM 32 arah Jakarta sekitar pukul 07.44 WIB. Belum
diketahui kronologi kecelakaan tersebut.

 Lala juga belum dapat memastikan ada atau tidaknya korban jiwa ataupun korban
luka dalam kecelakaan truk boks ini. Namun Lala menyampaikan situasi lalu
lintas normal dan tak terimbas kecelakaan.

 ""(Lalu lintas) masih lancar,"" jelas Lala.

 Lala menuturkan petugas masih berada di lokasi kecelakaan untuk proses
evakuasi.

 07.44 WIB

 "
"Kakek Bonceng Motor Tewas Terjatuh di Flyover Kemayoran, Pengendara Kabur

","Kamis, 17 Feb 2022 19:06 WIB

","Kakek Bonceng Motor Tewas Terjatuh di Flyover Kemayoran, Pengendara Kabur

Seorang kakek berinisial NS (77) meninggal dunia setelah jatuh saat membonceng
motor di

 Kasat Lantas Polres Metro Jakarta Pusat Kompol Purwanta membenarkan kejadian
tersebut. Peristiwa itu terjadi pada Kamis (17/2/2022) sekitar pukul 10.30
WIB.

 Purwanta menjelaskan kejadian berawal ketika motor bernomor polisi B-3869-UXG
melaju dari arah timur ke barat di Jl HBR Motik, Kemayoran, Jakarta Pusat.
Tepatnya di turunan

 ""Sesampai di turunan

 Purwanta mengatakan korban mengalami luka pada bagian kepala dan dinyatakan
meninggal di TKP. Purwanta menduga pengendara lalai.

 ""Diduga karena lalai dan kurang hati-hati saat mengendarai kendaraan atau
kurang konsentrasi sehingga terjadi kecelakaan lalu lintas yang mengakibatkan
meninggal dunia,"" katanya.

 Purwanta menyebut kasus tersebut sedang dalam tahap penyelidikan. Purwanta
mengatakan pihaknya akan memanggil saksi-saksi di TKP untuk dimintai
keterangan lebih lanjut.

 ""Nanti di-BAP saksi yang ada, termasuk keluarganya,"" tuturnya.

 "
"Ancaman Hukuman Berat Menanti Anak Muda Pengemudi 'Mobil Maut' Sudirman

","Jumat, 18 Feb 2022 05:33 WIB

","Ancaman Hukuman Berat Menanti Anak Muda Pengemudi 'Mobil Maut' Sudirman

Kasus

 Sementara ini, polisi menetapkan BT sebagai tersangka karena dianggap lalai
dalam berkendara sehingga mengakibatkan orang lain meninggal dunia. Namun, BT
bisa dijerat dengan ancaman hukuman yang lebih berat jika terbukti dalam
terpengaruh miras atau narkoba saat berkendara.

 Kecelakaan itu terjadi di Jl Jenderal Sudirman pada Rabu (16/2) dini hari.
Tiga orang pengendara motor tertabrak mobil yang dikemudikan oleh BT,

 Insiden kecelakaan ini sempat

 ""Ini minum air putih. Bernard,

 BT tidak merespons dengan baik. Kondisinya masih terlihat lemas.

 ""

 Kasus kecelakaan itu ditangani Subdit Gakkum Ditlantas Polda Metro Jaya. Hasil
gelar perkara, pemuda berinisial BT kemudian

 ""Pengemudi mobil sudah ditetapkan tersangka,"" kata Kasubdit Gakkum Ditlantas
Polda Metro Jaya Kompol Argadija Putra saat dihubungi, Kamis (17/2/2022).

 BT dikenai Pasal 310 ayat (4) Undang-undang No. 22 Tahun 2009 tentang Lalu
Lintas dan Angkutan Jalan (LLAJ). Tersangka BT diniliai telah

 Berikut ini bunyi Pasal 310 ayat (4):

 .

 

 "
"Mobil Boks Ringsek Tabrak Tiang Listrik di Bekasi, Sopir-Penumpang Terluka

","Jumat, 18 Feb 2022 10:36 WIB

","Mobil Boks Ringsek Tabrak Tiang Listrik di Bekasi, Sopir-Penumpang Terluka

Sebuah mobil boks pengangkut kue basah mengalami kecelakaan di

 Kecelakaan itu terjadi di Jalan Imam Bonjol, Cikarang Barat, pada Jumat (18/2)
pukul 03.30 WIB. Kecelakaan tersebut bermula ketika sopir boks banting stir di
sebuah putaran.

 ""Infonya

 Di dalam mobil boks itu hanya terdapat 2 orang, yakni sang sopir dan
penumpang.

 Sang sopir, jelas Carmin, hanya mengalami luka ringan. Namun penumpang yang
duduk di sebelahnya harus dilarikan ke rumah sakit.

 ""Sopir sih nggak apa-apa, luka ringan

 Mobil tersebut rusak berat di bagian depan. Dalam sejumlah foto yang tersebar
di media sosial, mobil boks tersebut ringsek.

 "
"Truk Terguling di Tol Pelabuhan Tanjung Priok, Lalin Arah Cawang Macet

","Jumat, 18 Feb 2022 14:33 WIB

","Truk Terguling di Tol Pelabuhan Tanjung Priok, Lalin Arah Cawang Macet

Truk boks mengalami

 ""Info dari Citra Marga, benar terjadi kecelakaan tepat persimpangan Tanjung
Priok, tepatnya di jalur mengarah ke Cawang,"" kata petugas

 Kecelakaan itu terjadi sekitar pukul 13.00 WIB. Truk yang terguling menutup
jalur menuju Cawang.

 ""Benar (terguling). Masih dalam penanganan petugas,"" ucapnya.

 ""Informasi saat ini masih ada kepadatan, mulai tersendat dari Warakas hingga
lokasi tersebut, diperkirakan kepadatan sekitar 1 km,"" tambahnya.

 Sementara itu, dikonfirmasi terpisah, PT Citra Marga Nusaphala Persada (CMNP)
mengatakan penanganan

 ""Masih proses evakuasi, posisi kendaraan sudah normal, mudah-mudahan segera
selesai,"" kata petugas Senkom PT CMNP, Simon.

 Dia mengatakan saat ini jalur menuju Cawang masih ditutup total. Bagi
pengendara yang hendak menuju Cawang bisa keluar tol Wali Kota Jakut dan
kemudian berputar balik dan masuk kembali ke dalam tol.

 Akibat kecelakaan itu, kenek truk mengalami luka. Kecelakaan diduga karena
sopir mengantuk.

 ""Terluka di kepala keneknya, pengemudinya syok saja. Kenek dibawa ke RS Koja.
Untuk penyebabnya karena mengantuk saja,

 "
"Saat Peziarah Gagal Ziarah ke Wali Songo Gegara Bus Rombongan Ditabrak Truk

","Kamis, 17 Feb 2022 10:26 WIB

","Saat Peziarah Gagal Ziarah ke Wali Songo Gegara Bus Rombongan Ditabrak Truk

Kejadian ini bermula saat truk tronton bernopol H 1587 VL melaju dari arah
barat ke timur. Sesampai di jalan menanjak, kendaraan yang dikemudikan Riko
Setyo (20) warga Tuban itu tidak mampu menanjak sehingga bergerak mundur.

 Kanit Gakkum Satlantas Polres Lamongan Iptu Anang Purwo melanjutkan tepat di
belakang truk melaju bus mini bernopol T 7810 AB. Bus itu membawa 30 orang
yang sedang melakukan ziarah wali songo. Akibatnya, terjadi tabrak depan-
belakang antara bagian belakang truk dengan bagian depan bus.

 ""Rombongan bus ini adalah rombongan yang hendak ziarah wali songo dari Desa
Gunungmenyan Kecamatan Luwihliyang Kabupaten Bogor dengan jumlah penumpang
sebanyak 30 orang. Kejadian Selasa (15/2) malam,"" ujar Anang.

 Akibat tabrakan ini, lanjut Anang, bus sempat terseret ke belakang dan
berhenti di pinggir jalan. Usai menabrak bus, truk dengan muatan Pasir Silica
itu terguling dan muatannya pun tumpah.

 ""Para korban luka akibat kejadian ini 18 orang yang adalah penumpang Bus, 6 di
antaranya dirujuk ke RSUD Lamongan karena mengalami patah tulang,"" ungkap
Anang.

 Polisi mendatangkan derek dari Tuban untuk mengevakuasi bangkai truk. Polisi
masih meminta keterangan sejumlah saksi dan melakukan olah TKP.

 Sementara korban yang mengalami luka ringan sudah pulang. Namun, masih ada 7
korban yang tengah menjalani perawatan medis di RSUD dr Soegiri Lamongan.

 ""Tinggal yang berada di RSUD dr Sugiri saja sebanyak 7 orang. Rinciannya, 5
menjalani perawatan dan 2 operasi karena patah tulang,"" ujar dia.

 Sementara korban yang mengalami luka ringan memilih untuk pulang dan tidak
melanjutkan perjalanan usai

 Polisi bersama Dinas Perhubungan Lamongan hari ini rencananya melakukan cek
fisik kendaraan truk tersebut. Cek fisik ini untuk mengetahui apakah truk itu
masuk dalam kategori truk Over Dimension Over Loading (Odol) atau bukan.

 

 "
"5 Fakta 'Mobil Maut' Disetiri Anak Muda Hingga Jatuh Korban Jiwa

","Kamis, 17 Feb 2022 07:16 WIB

","5 Fakta 'Mobil Maut' Disetiri Anak Muda Hingga Jatuh Korban Jiwa

melibatkan mobil Honda HR-V dengan tiga unit motor di Jalan Jenderal Sudirman,
Jakarta Pusat. Satu orang

 Peristiwa itu terjadi pada Rabu (16/2/2022) sekitar pukul 01.15 WIB. Mobil
jenis SUV itu diketahui dikemudikan oleh pemuda yang diinisialkan BT (20).

 Dari video yang beredar viral di media sosial, pengemudi mobil tersebut diduga
dalam

 Berikut fakta-fakta terkait kecelakaan 'mobil maut' di Sudirman yang dirangkum

 Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Argadija Putra mengatakan

 ""Pengendara sepeda motor inisial MI (17) mengalami luka pada kepala dan
meninggal dunia di tempat,"" ujar Arga saat dihubungi

 Sementara itu, dua pemotor lainnya mengalami luka-luka. Kedua korban dirawat
masing-masing di RSCM dan RS Tarakan.

 Polisi mengungkapkan pengemudi 'mobil maut' adalah seorang laki-laki
berinisial BT. Pengemudi tersebut masih

 ""Usia 20 tahun,"" ucap Arga.

 Arga menyebutkan BT hanya seorang diri dalam mobil saat kecelakaan itu
berlangsung. Saat ini BT masih menjalani pemeriksaan di kepolisian.

 

 "
"Truk Boks Terguling di Pademangan Jakut, Sopir Terjepit

","Kamis, 17 Feb 2022 17:09 WIB

","Truk Boks Terguling di Pademangan Jakut, Sopir Terjepit

Sebuah video yang menampilkan aksi

 Dalam video yang beredar, terlihat sebuah mobil boks yang terguling di tepi
jalan. Di dalam mobil boks itu, terdapat sopir yang terjepit.

 Sejumlah orang terlihat berusaha menolong sopir itu. Salah satu warga tampak
berusaha menjangkau sang sopir.

 ""

 Kanit Laka Jakarta Utara AKP Edi Wibowo membenarkan kejadian itu. AKP Edi
menyebut peristiwa itu terjadi di Jalan Karang Bolong VI, tepatnya di samping
Vihara Mahavira, Pademangan, Jakarta Utara, pukul 13.20 WIB siang tadi.

 Mulanya, mobil boks yang dikendarai SU melintas dari arah selatan ke utara.
Tiba-tiba, mobil tersebut oleng karena

 ""Di Jalan Karang Bolong VI wilayah Pademangan, Jakarta Utara, tepatnya di
samping Vihara Mahavira oleng kekiri menabrak trotoar dan terguling,"" kata Edi
dalam keterangannya.

 Akibatnya, pengemudi terluka. ""Pengemudi mengalami luka serta kendaraannya
mengalami kerusakan,"" imbuh Edi.

 Kecelakaan ini ditangani oleh Unit Laka Lantas Jakarta Utara. Sementara korban
sudah dievakuasi ke rumah sakit.

 "
