title,date,description,source
"Kebakaran Hutan Turki, Turis Dievakuasi","Rabu, 04 Agu 2021 21:01 WIB",ayo share cerita pengalaman upload photo album travelingmu silakan kebakaran hutan melanda kotaturki turis turis dievakuasi perahu penyelamat kebakaran hutan berkobar kota kota mediterania turis resor bergegas pantai menunggu perahu penyelamat ap hotel resor laut aegea bodrum berdekatan kebakaran hutan dievakuasi ap unit penjaga pantai memimpin operasi berwenang perahu kapal pesiar pribadi membantu upaya evakuasi ap kebakaran melahap hutan pemukiman melebar desa tujuan wisata ap presiden turki recep tayyip erdogan mengunjungi daerah terdampak ap pemerintah menanggung biaya sewa orang orang terkena dampak kebakaran membangun rumah foyo ap,www.detik.com
"
        Kebakaran di Mangga Dua Jakpus Hanguskan 38 Bangunan, 3 Orang Luka    ","Jumat, 28 Jan 2022 12:05 WIB",puluhan rumah terbakar mangga selatan sawah jakarta pusat jakpus keterangan pengurus rw rumah 38 rumah bangunan semipermanen 3 rt rt 05 06 07 lurah mangga selatan agatha bayu putra lokasi kebakaran jumat 28 1 2022 lokasi kebakaran jl pangeran jayakarta budi rahayu 1 mangga selatan sawah jakarta pusat kebakaran kamis 27 1 22 45 wib orang warga kena kebakar kakinya luka orang ppsu ngebantu evakuasi semalem 3 orang korban kebakaran dirawat rsud taman sari rsud sawah kasudin gulkarmat jakpus asril rizal kebakaran akibat korsleting listrik diduga korsleting listrik asril rizal keterangannya asril rizal kebakaran warga api salah rumah bawahnya warung sembako milik penghuni indekos api membesar warga panik mengatasinya menghubungi pemadam kebakaran pemadaman hambatan listrik angin kencang warga berkerumun asril rizal pemadaman 22 50 wib selesai 04 35 wib kebakaran 18 unit 110 petugas diturunkan 6 jam selesai dipadamkan asril rizal korban jiwa peristiwa kerugian ditaksir mencapai rp 700 juta luas area terkena kebakaran 700 meter persegi 20 kepala keluarga 60 jiwa terdampak kebakaran,www.detik.com
"
        Hujan dan Angin Kencang Masih Mengancam Wilayah Jatim, BMKG Imbau Waspada    ","Kamis, 13 Jan 2022 09:00 WIB",bmkg klas i juanda surabaya mengimbau masyarakat senantiasa meningkatkan kewaspadaan waspada hujan intensitas deras disertai petir angin kencang tulis bmkg klas i juanda surabaya keterangannya diterima detikcom surabaya kamis 13 1 2023 pagi cuaca buruk wilayah nganjuk ponorogo pacitan tulungagung siang sore diprakirakan wilayah surabaya sidoarjo kota mojokerto lamongan bojonegoro jombang magetan kabupaten kediri kabupaten malang kabupaten pasuruan kota pasuruan kabupaten probolinggo kota probolinggo lumajang jember banyuwangi pamekasan sampang hujan deras disertai petir suhu udara angka 13 34 c kelembapan udara 55 100 angin dominan barat daya memuju barat kecepatan 05 30 km jam,www.detik.com
"
        Angin Kencang Tumbangkan Dua Pohon Besar di Lamongan, Lalin Sempat Macet    ","Selasa, 25 Jan 2022 19:21 WIB",pohon tumbang jalan lamongan mantup tepatnya desa sanur kecamatan tikung pohon tumbang berukuran diameter 70 cm pohon tumbang menutupi akses jalan raya lamongan mantup kabid tanggap darurat bpbd kabupaten lamongan muhammad muslimin wartawan selasa 25 1 2022 muslimin hujan deras disertai angin kencang 2 pohon desa sanur kecamatan lamongan tumbang beruntung kejadian kendaraan orang pohon tumbangnya arah jalan raya akibat tertutupnya akses jalan raya muslimin kemacetan arus lintas lumayan jalur 3 km tumbangnya pohon menyebabkan aktivitas warga terganggu bpbd lamongan instansi terlibat dibantu masyarakat mengevakuasi pohon tumbang muslimin elemen masyarakat arus lintas normal korban pungkasnya,www.detik.com
"
        Rumpun Pohon Bambu Tumbang-Timpa Tiga Rumah di Tasikmalaya    ","Rabu, 26 Jan 2022 11:57 WIB",peristiwa hujan deras disertai angin kencang melanda kabupaten tasikmalaya jawa barat selasa petang 25 01 22 rumpun bambu desa cigadog leuwisari sariwangi tumbang menimpa rumah warga rusak berat rumpun bambu menimpa atap rumah onon 60 iyoh 50 akibatnya atap langit langit genting rumah hancur ditaksir kerugian mencapai puluhan juta rupiah rumah terdampak rusak parah tertimbun bambu koordinator forum komunikasi fk tagana kabupaten tasikmalaya jembar adisetya dikonfirmasi rabu 26 01 22 penyebab pohon bambu tumbang jembar diduga akibat hujan deras disertai angin kencang mengakibatkan dapuran pohon bambu tumbang rabu proses evakuasi bambu rumah korban rusak diperbaiki upaya tagana mengevakuasi korban aman warga membersihkan pohon bambu menghalangi jalan lokasi bencana keamanan warga terdampak diarahkan mengungsi rumah saudaranya keluarganya aman personil terlibat aparat desa tni polri bpbd dibantu warga mengevakuasi bangunan rumah rusak pohon bambu tumbang,www.detik.com
"
        25 Batang Pipa Makassar New Port Terbakar    ","Jumat, 28 Jan 2022 16:07 WIB",kebakaran melanda kawasan makassar new port mnp 25 batang pipa karet ludes terbakar kebakaran diduga las listrik infonya las listrik memicu kebakaran kepala dinas pemadam kebakaran kota makassar hasanuddin jumat 28 1 2022 lokasi kebakaran jalan sultan abdullah raya tallo makassar sulawesi selatan sulsel api membesar 13 05 wita asap tebal akibat kebakaran arah kawasan pantai makassar damkar makassar menerima laporan kebakaran lantas menerjunkan unit kendaraan pemadam kebakaran hasanuddin mengaku kendala petugas lapangan memadamkan api dibantu 10 orang petugas api berhasil dikuasai mudah dipadamkan langsung padamkan aksesnya bagus warga korban akibat kejadian kebakaran kerugian materiil akibat kebakaran pipa pipa karet,www.detik.com
"
        Angin Kencang Terjang Ciamis, Tiga Mobil Tertimpa Pohon    ","Selasa, 25 Jan 2022 17:46 WIB",hujan deras disertai angin kencang menerjang wilayah perkotaan ciamis belasan pohon tumbang ruas jalan mobil tertimpa pohon salah satunya mobil layanan promkes dinas kesehatan ciamis pantauan kendaraan tertimpa mobil milik pribadi parkir pinggir jalan mobil layanan promosi milik dinas kesehatan parkir halaman kantor pohon menimpa kanopi bangunan parkiran rusak atap bangunan pencucian mobil rusak terbawa angin akibat kejadian arus lintas ruas jalan terhambat terhalang pohon kendaraan memilih jalur alternatif melintas kejadian petugas bpbd ciamis polisi tni petugas dinas kebersihan damkar masyarakat bahu membahu mengevakuasi pohon tumbang sekuat tenaga petugas bpbd ciamis memotong pohon gergaji mesin warga menyingkirkan dahan dipotong devi nuryadin pegawai dinas kesehatan ciamis membenarkan kejadian kantor hujan deras disertai angin kencang terdengar suara ambruk kencang kantor kaget kantor pohon pohon tumbang pohon komplek kantor menimpa garasi parkiran mobil promkes tertimpa kayaknya rusak ringan devi petugas bpbd ciamis dibantu mengevakuasi pohon tumbang bpbd mendata kerusakan akibat pohon tumbang,www.detik.com
"
        Hujan Disertai Angin Kencang di Surabaya Dipengaruhi Potensi Bibit Siklon    ","Selasa, 25 Jan 2022 15:00 WIB",bmkg klas i juanda surabaya menyebut low pressure area samudera hindia sebelah utara negara australia barat hasil pengamatan kecepatan angin maksimum 24 knots 44 km jam tulis bmkg juanda keterangannya diperoleh detikjatim surabaya selasa 25 1 2022 bmkg mengimbau masyarakat senantiasa waspada masyarakat mendekati pohon benda rawan roboh hindari berdekatan pohon benda benda rapuh ya pesannya,www.detik.com
"
        Korban Tewas Akibat Kebakaran Hutan di Turki Jadi 8 Orang    ","Senin, 02 Agu 2021 02:42 WIB",korban tewas akibat kebakaran hutan dilansir afp senin 2 8 2021 2 mayat ditemukan kota manavgat provinsi antalya menteri kesehatan fahrettin koca twitter warga negara koca kebakaran rabu 864 orang menjalani perawatan medis warga lingkungan kota wisata bodrum dievakuasi walikota angin kencang distrik milas dekatnya mengipasi api 1 100 penduduk dibawa bodrum 20 perahu walikota ahmet aras mengevakuasi orang jalan darat mengalami kebakaran terburuk dekade data resmi 95 000 hektar terbakar dibandingkan 13 516 hektar titik 2008 2020,www.detik.com
"
        Potret Warga Berjibaku Padamkan Kebakaran Hutan di Turki    ","Minggu, 01 Agu 2021 19:05 WIB",kebakaran hutan melanda wilayah selatan barat negara turki warga berjibaku memadamkan api,www.detik.com
