tingkat setelah parent,parent,similarity
3,rahmad,"[('darmawan', 0.842490553855896), ('siswanto', 0.8385204076766968), ('herry', 0.8258390426635742), ('setyo', 0.8240274786949158), ('prasetyo', 0.8228508234024048), ('wahyudi', 0.8201877474784851), ('setyawan', 0.8180418014526367), ('wicaksono', 0.809831440448761), ('cahyono', 0.8053255677223206), ('firmansyah', 0.8040878772735596)]"
3,heri,"[('hermawan', 0.8815047144889832), ('wahyudi', 0.8787182569503784), ('herry', 0.8633777499198914), ('setyo', 0.8580225110054016), ('sugeng', 0.854465126991272), ('haryadi', 0.8544310927391052), ('prasetyo', 0.8499659895896912), ('cahyo', 0.8451176285743713), ('cahyono', 0.8414754271507263), ('darmawan', 0.8394933342933655)]"
3,dedy,"[('setyo', 0.8459741473197937), ('wahyudi', 0.8414740562438965), ('dedi', 0.8390488028526306), ('santosa', 0.8378196954727173), ('sugeng', 0.8377072811126709), ('handoyo', 0.8324931859970093), ('herry', 0.8320316672325134), ('hermawan', 0.8315308690071106), ('suryana', 0.8263131380081177), ('hendri', 0.8259531259536743)]"
3,heru,"[('sugeng', 0.8360087275505066), ('setyo', 0.8238560557365417), ('purnomo', 0.816060483455658), ('wahyudi', 0.8075599074363708), ('cahyono', 0.8062238693237305), ('herry', 0.8062164783477783), ('nurhadi', 0.8051130175590515), ('edy', 0.803727388381958), ('heri', 0.7997632026672363), ('hendro', 0.7978957295417786)]"
3,edy,"[('mochamad', 0.8664616942405701), ('dedi', 0.862095832824707), ('herry', 0.8532876968383789), ('wahyudi', 0.8523708581924438), ('supardi', 0.8492568135261536), ('prayitno', 0.8459057807922363), ('pramono', 0.8453537225723267), ('setyo', 0.8449437618255615), ('purnomo', 0.8438173532485962), ('irianto', 0.842701256275177)]"
3,herry,"[('setyo', 0.876908004283905), ('heri', 0.8633776903152466), ('haryadi', 0.8538765907287598), ('edy', 0.8532875180244446), ('wahyudi', 0.8501825928688049), ('dedi', 0.8429399132728577), ('mochamad', 0.8390613198280334), ('hermawan', 0.8387561440467834), ('pramono', 0.8385958671569824), ('dedy', 0.8320317268371582)]"
3,dedi,"[('supardi', 0.8662382364273071), ('edy', 0.862095832824707), ('setyo', 0.850138783454895), ('herry', 0.8429399728775024), ('heri', 0.8393967151641846), ('dedy', 0.8390486836433411), ('hendri', 0.8387881517410278), ('wahyudi', 0.8317196369171143), ('suryana', 0.831076443195343), ('purnomo', 0.8293387293815613)]"
3,nurhadi,"[('wahyudi', 0.8375427722930908), ('sunarya', 0.8318437337875366), ('sugeng', 0.8268991112709045), ('suwarno', 0.8266724944114685), ('setyo', 0.8229992389678955), ('suryana', 0.8211371898651123), ('santosa', 0.818008303642273), ('setyawan', 0.8146582245826721), ('sutisna', 0.8134200572967529), ('singgih', 0.8119447827339172)]"
3,supardi,"[('dedi', 0.8662383556365967), ('suryana', 0.8497539758682251), ('edy', 0.8492565155029297), ('wahyudi', 0.8377187848091125), ('supriadi', 0.8360642194747925), ('mochamad', 0.8355384469032288), ('setyo', 0.8288353085517883), ('mulyana', 0.82725590467453), ('sugeng', 0.8262073397636414), ('sudrajat', 0.8261500597000122)]"
3,cahyono,"[('setyawan', 0.8623384237289429), ('setyo', 0.8587314486503601), ('prasetyo', 0.8566870093345642), ('santosa', 0.8494648933410645), ('wahyudi', 0.8485472202301025), ('putro', 0.8430573344230652), ('cahyo', 0.8415314555168152), ('heri', 0.8414754271507263), ('hermawan', 0.8394438624382019), ('wicaksono', 0.837449848651886)]"
3,hery,"[('setyo', 0.8693932890892029), ('setiadi', 0.8690662980079651), ('priyo', 0.8537819981575012), ('mulyana', 0.8493655323982239), ('budiono', 0.8452804684638977), ('mochamad', 0.8402957320213318), ('wahyudi', 0.83952397108078), ('hartoyo', 0.8372823596000671), ('setyawan', 0.8355020880699158), ('santosa', 0.8348215818405151)]"
3,sapto,"[('prasetyo', 0.870456874370575), ('setyo', 0.8612669110298157), ('wicaksono', 0.8373459577560425), ('wahyudi', 0.8373287320137024), ('hermawan', 0.8370304107666016), ('santosa', 0.831183910369873), ('hery', 0.8299077749252319), ('pramono', 0.8294451236724854), ('handoko', 0.8271641135215759), ('purnomo', 0.8255375027656555)]"
3,yudi,"[('wicaksono', 0.8651787042617798), ('syaiful', 0.8561258316040039), ('prasetyo', 0.8556061387062073), ('satrio', 0.855410099029541), ('firmansyah', 0.8536427021026611), ('wahyudi', 0.8504137396812439), ('permana', 0.842085599899292), ('kurnia', 0.8406909704208374), ('arief', 0.838502049446106), ('andri', 0.8362203240394592)]"
3,hermawan,"[('heri', 0.8815046548843384), ('prasetyo', 0.8737553954124451), ('cahyo', 0.8659991025924683), ('wicaksono', 0.8650825619697571), ('wahyudi', 0.8632521629333496), ('setyawan', 0.8569361567497253), ('wibisono', 0.8568432927131653), ('setiadi', 0.8513359427452087), ('hendrawan', 0.8486780524253845), ('setyo', 0.8470081686973572)]"
3,kurniawan,"[('setiawan', 0.8603367209434509), ('susanto', 0.8413750529289246), ('cahyo', 0.8357387781143188), ('hendrawan', 0.829216480255127), ('ramdani', 0.8283619284629822), ('heryanto', 0.8235473036766052), ('rully', 0.8230562210083008), ('hermawan', 0.8222318291664124), ('prasetyo', 0.8218309283256531), ('wirawan', 0.8197098970413208)]"
3,indrawan,"[('wicaksono', 0.8295059204101562), ('wirawan', 0.8163884282112122), ('hermawan', 0.8144877552986145), ('firmansyah', 0.8128324151039124), ('oky', 0.8122250437736511), ('kurniawan', 0.8106897473335266), ('setyawan', 0.8092425465583801), ('wibisono', 0.8084334135055542), ('ragil', 0.807487964630127), ('rully', 0.8056451082229614)]"
3,wibowo,"[('hermawan', 0.833818793296814), ('yudi', 0.8332986831665039), ('wahyudi', 0.8274682760238647), ('heri', 0.8273559212684631), ('prasetyo', 0.8269364237785339), ('handoko', 0.826113760471344), ('wicaksono', 0.8223752379417419), ('wirawan', 0.8126557469367981), ('darmawan', 0.8092869520187378), ('cahyo', 0.8069084882736206)]"
3,prasetya,"[('prasetyo', 0.8385486006736755), ('wicaksono', 0.8307990431785583), ('permana', 0.8300204277038574), ('febri', 0.8209251761436462), ('widi', 0.8185105323791504), ('hermawan', 0.8142207860946655), ('yudi', 0.8128604888916016), ('angga', 0.805716335773468), ('kurnia', 0.8049955368041992), ('rizki', 0.8024656176567078)]"
3,kurnia,"[('permana', 0.8655573725700378), ('yudi', 0.8406909704208374), ('setyawan', 0.8302401304244995), ('setiawan', 0.8280857801437378), ('wicaksono', 0.8266758322715759), ('cahya', 0.8252639770507812), ('prasetyo', 0.8250026702880859), ('hermawan', 0.8240584135055542), ('darmawan', 0.8234929442405701), ('dedy', 0.8195887804031372)]"
3,adhi,"[('makayasa', 0.8258904218673706), ('nugraha', 0.7628392577171326), ('wiratama', 0.6990419626235962), ('wicaksono', 0.687537431716919), ('setyo', 0.6864434480667114), ('budhi', 0.6815477609634399), ('wira', 0.679210364818573), ('setyawan', 0.6785492300987244), ('prasetya', 0.6779435276985168), ('santosa', 0.6772897243499756)]"
3,siswanto,"[('rahmad', 0.8385205268859863), ('setyo', 0.837121307849884), ('putro', 0.8325680494308472), ('wahyudi', 0.8316349387168884), ('raharjo', 0.831261157989502), ('supriyanto', 0.8286837935447693), ('sugiyanto', 0.8257660269737244), ('nurjaman', 0.8252180218696594), ('setyawan', 0.822500467300415), ('sunarto', 0.8203549385070801)]"
3,sutjipto,"[('sucipto', 0.838850200176239), ('soedarsono', 0.7697243094444275), ('irianto', 0.7696234583854675), ('mochamad', 0.7652412056922913), ('setyo', 0.7642316818237305), ('soemarmo', 0.7623758912086487), ('sutarto', 0.7520868182182312), ('wahyudi', 0.7505993843078613), ('mulyono', 0.7490980625152588), ('drh', 0.7478473782539368)]"
3,sumarmo,"[('adisumarmo', 0.783075213432312), ('sucipto', 0.7748013734817505), ('soemarmo', 0.7626913785934448), ('sutjipto', 0.7312072515487671), ('adisucipto', 0.7269976139068604), ('seputra', 0.6917014718055725), ('adisutjipto', 0.6777729392051697), ('lanuma', 0.6514249444007874), ('sastranegara', 0.6504782438278198), ('adi', 0.6249499320983887)]"
3,soemarmo,"[('sumarmo', 0.7626914978027344), ('sutjipto', 0.7623758316040039), ('sucipto', 0.7538151741027832), ('panasan', 0.6854076981544495), ('sumardi', 0.6726555824279785), ('sugiri', 0.6648943424224854), ('atmojo', 0.6624647378921509), ('adisucipto', 0.6599101424217224), ('adisutjipto', 0.6573148965835571), ('soepardi', 0.654451847076416)]"
3,mochammad,"[('mochamad', 0.894076406955719), ('suryana', 0.8608391880989075), ('wahyudi', 0.8593722581863403), ('sofwan', 0.8566824793815613), ('akhmad', 0.8547351360321045), ('moch', 0.85462486743927), ('hamdani', 0.8492534160614014), ('rukman', 0.8479557633399963), ('hartoyo', 0.8472083806991577), ('tohir', 0.8462067246437073)]"
3,ramdani,"[('lestaluhu', 0.8549039959907532), ('zulham', 0.8421329855918884), ('kurniawan', 0.828361988067627), ('kartiko', 0.8236132264137268), ('febrianto', 0.823554515838623), ('wahyudi', 0.8163533806800842), ('fahriza', 0.8156939744949341), ('andrianto', 0.8122476935386658), ('yudhi', 0.8108518719673157), ('setyawan', 0.8073789477348328)]"
